Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,Complexity Level,Has Description,Is Standard Measure,Standardized Calculation Logic Score,Naming Conventions Score,Overall Score,Sub-Rule Scores Breakdown,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Trending,Warning,% Committed,"DIVIDE([Committed + Risk Pipeline],[Qualified Pipeline],BLANK())",Ratio or percentage calculation,Medium,No,No,0.650,0.880,0.765,"ML-001: 0.200, ML-002: 0.180, ML-003: 0.000, ML-004: 0.270, MN-001: 0.360, MN-002: 0.360, MN-003: 0.160","Ratio/percentage measures should follow standard calculation patterns. Use DIVIDE() function, include '%' in name for percentages, and ensure consistent decimal formatting across similar measures.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Warning,% Upside,"DIVIDE([Uncommitted + Upside Pipeline],[Qualified Pipeline],BLANK())",Ratio or percentage calculation,Medium,No,No,0.650,0.880,0.765,"ML-001: 0.200, ML-002: 0.180, ML-003: 0.000, ML-004: 0.270, MN-001: 0.360, MN-002: 0.360, MN-003: 0.160","Ratio/percentage measures should follow standard calculation patterns. Use DIVIDE() function, include '%' in name for percentages, and ensure consistent decimal formatting across similar measures.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Warning,Actual + Schedule,SUM(Trending[ActualBilledRevenue])+SUM(Trending[ScheduledBilledRevenue]),"Simple aggregation (SUM, COUNT, etc.)",Medium,No,No,0.710,0.960,0.835,"ML-001: 0.200, ML-002: 0.210, ML-003: 0.000, ML-004: 0.300, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Critical,DBF VTB $,[Total DBF] - [Billed Budget],Undocumented or unclear calculation,Low,No,No,0.320,0.840,0.580,"ML-001: 0.200, ML-002: 0.030, ML-003: 0.000, ML-004: 0.090, MN-001: 0.360, MN-002: 0.320, MN-003: 0.160","Measure does not align with standard library patterns. Review if this can be replaced with or derived from standard business measures, or if it should be added to the standard library for reuse.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Calculation type cannot be determined. Clarify the measure's purpose and ensure it follows recognizable DAX patterns. Consider if this measure serves a clear business need or should be restructured using standard calculation patterns.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Critical,DBF VTF $,[Total DBF] - [Billed Forecast],Undocumented or unclear calculation,Low,No,No,0.320,0.840,0.580,"ML-001: 0.200, ML-002: 0.030, ML-003: 0.000, ML-004: 0.090, MN-001: 0.360, MN-002: 0.320, MN-003: 0.160","Measure does not align with standard library patterns. Review if this can be replaced with or derived from standard business measures, or if it should be added to the standard library for reuse.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Calculation type cannot be determined. Clarify the measure's purpose and ensure it follows recognizable DAX patterns. Consider if this measure serves a clear business need or should be restructured using standard calculation patterns.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline with Close Plan Attach,"DIVIDE (
    SUM ( Trending[QPClosePlanAttach_Num] ),
    SUM ( Trending[QPClosePlanAttach_Den] ),
    BLANK ()
)",Undocumented or unclear calculation,Medium,No,No,0.350,0.960,0.655,"ML-001: 0.200, ML-002: 0.030, ML-003: 0.000, ML-004: 0.120, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Measure does not align with standard library patterns. Review if this can be replaced with or derived from standard business measures, or if it should be added to the standard library for reuse.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Calculation type cannot be determined. Clarify the measure's purpose and ensure it follows recognizable DAX patterns. Consider if this measure serves a clear business need or should be restructured using standard calculation patterns.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,% Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] = ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",Ratio or percentage calculation,High,No,No,0.680,0.800,0.740,"ML-001: 0.200, ML-002: 0.180, ML-003: 0.000, ML-004: 0.300, MN-001: 0.280, MN-002: 0.360, MN-003: 0.160","Ratio/percentage measures should follow standard calculation patterns. Use DIVIDE() function, include '%' in name for percentages, and ensure consistent decimal formatting across similar measures.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Warning,% Non Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] <> ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",Ratio or percentage calculation,High,No,No,0.680,0.880,0.780,"ML-001: 0.200, ML-002: 0.180, ML-003: 0.000, ML-004: 0.300, MN-001: 0.360, MN-002: 0.360, MN-003: 0.160","Ratio/percentage measures should follow standard calculation patterns. Use DIVIDE() function, include '%' in name for percentages, and ensure consistent decimal formatting across similar measures.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Critical,DBF VTB %,"DIVIDE([DBF VTB $],[Billed Budget],BLANK())",Ratio or percentage calculation,Low,No,No,0.650,0.840,0.745,"ML-001: 0.200, ML-002: 0.180, ML-003: 0.000, ML-004: 0.270, MN-001: 0.360, MN-002: 0.320, MN-003: 0.160","Ratio/percentage measures should follow standard calculation patterns. Use DIVIDE() function, include '%' in name for percentages, and ensure consistent decimal formatting across similar measures.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline in High Stage,"DIVIDE (
    SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)",Undocumented or unclear calculation,Medium,No,No,0.350,0.960,0.655,"ML-001: 0.200, ML-002: 0.030, ML-003: 0.000, ML-004: 0.120, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Measure does not align with standard library patterns. Review if this can be replaced with or derived from standard business measures, or if it should be added to the standard library for reuse.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Calculation type cannot be determined. Clarify the measure's purpose and ensure it follows recognizable DAX patterns. Consider if this measure serves a clear business need or should be restructured using standard calculation patterns.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline in Low Stages,"DIVIDE (
    SUM ( Trending[QualifiedPipeline] ) - SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)",Undocumented or unclear calculation,Medium,No,No,0.350,0.960,0.655,"ML-001: 0.200, ML-002: 0.030, ML-003: 0.000, ML-004: 0.120, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Measure does not align with standard library patterns. Review if this can be replaced with or derived from standard business measures, or if it should be added to the standard library for reuse.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Calculation type cannot be determined. Clarify the measure's purpose and ensure it follows recognizable DAX patterns. Consider if this measure serves a clear business need or should be restructured using standard calculation patterns.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Uncommitted + Upside Pipeline,[Uncommitted Pipeline] + [Uncommitted Upside Pipeline],Undocumented or unclear calculation,Medium,No,No,0.320,0.920,0.620,"ML-001: 0.200, ML-002: 0.030, ML-003: 0.000, ML-004: 0.090, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Measure does not align with standard library patterns. Review if this can be replaced with or derived from standard business measures, or if it should be added to the standard library for reuse.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Calculation type cannot be determined. Clarify the measure's purpose and ensure it follows recognizable DAX patterns. Consider if this measure serves a clear business need or should be restructured using standard calculation patterns.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Budget,"VAR X = [Billed Budget] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))",Complex multi-step calculation,High,No,No,0.470,0.920,0.695,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.180, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))",Complex multi-step calculation,High,No,No,0.470,0.920,0.695,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.180, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Forecast Latest Week KPI,[CPC to Forecast Latest Week] * 100,Undocumented or unclear calculation,Low,No,No,0.320,0.920,0.620,"ML-001: 0.200, ML-002: 0.030, ML-003: 0.000, ML-004: 0.090, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Measure does not align with standard library patterns. Review if this can be replaced with or derived from standard business measures, or if it should be added to the standard library for reuse.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Calculation type cannot be determined. Clarify the measure's purpose and ensure it follows recognizable DAX patterns. Consider if this measure serves a clear business need or should be restructured using standard calculation patterns.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Budget MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Budget WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline Coverage to Budget MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline Coverage to Budget WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
