Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,AI Analyzed,Unique Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Unique Measure Definition Score,Unique Measure Definition Max Score,Standard Measure Score,Standard Measure Max Score,Business Documentation Score,Business Documentation Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Score,DAX Reference Max Score,Overall Score,Calculation Logic Score,Naming Score,Business Purpose,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account,Issue,Delta Helps Maximize Solutions Value,"IF(AVERAGE(Account[HelpsMaximizeSolutions])=0,"""",AVERAGE(Account[delta_HelpsMaximizeSolutions]))",Complex Calculation,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard business patterns like Total Sales Value or Gross Margin.,"No - The measure lacks a description and uses nested logic, making it harder to understand its business purpose.","Medium - The formula uses nested IF and AVERAGE functions, which adds moderate complexity.",No - The name is overly verbose and does not clearly reflect the calculation logic or business purpose.,"No - The measure does not have a description, making it difficult to understand its business purpose.","Yes - The formula uses fully qualified column references, which adhere to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.300,0.400,0.200,"Calculate the delta average value of 'HelpsMaximizeSolutions' for accounts, with conditional logic.",Provide a clear description explaining the business purpose of the measure. Simplify the formula if possible to reduce complexity.,"Rename the measure to better reflect its calculation and business purpose. For example, 'Delta_Average_Helps_Maximize_Solutions'."
Account,Issue,Delta Joint Planning Addresses Needs,"IF(AVERAGE(Account[JointPlanningAddressesNeeds])=0,"""",AVERAGE(Account[delta_JointPlanningAddressesNeeds]))",Complex Calculation,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard business patterns like Total Sales Value or Gross Margin.,"No - The measure lacks a description and uses nested logic, making it harder to understand its business purpose.","Medium - The formula uses nested IF and AVERAGE functions, which adds moderate complexity.",No - The name is overly verbose and does not clearly reflect the calculation logic or business purpose.,"No - The measure does not have a description, making it difficult to understand its business purpose.","Yes - The formula uses fully qualified column references, which adhere to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.300,0.400,0.200,"Calculate the delta average value of 'JointPlanningAddressesNeeds' for accounts, with conditional logic.",Provide a clear description explaining the business purpose of the measure. Simplify the formula if possible to reduce complexity.,"Rename the measure to better reflect its calculation and business purpose. For example, 'Delta_Average_Joint_Planning_Addresses_Needs'."
Account,Warning,Joint Planning Addresses Needs,AVERAGE(Account[JointPlanningAddressesNeeds]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,Yes - The calculation logic is straightforward and uses a simple aggregation function (AVERAGE).,"Low - The measure uses a single aggregation function without nested logic, making it simple.",Yes - The name is descriptive and reflects the calculation purpose clearly.,"No - No description is provided, which limits understanding of the business purpose.",Yes - The formula uses fully qualified column references (Account[JointPlanningAddressesNeeds]).,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Evaluates the average score for joint planning addressing needs.,Consider adding a description to explain the business purpose of this measure. Evaluate if this measure aligns with enterprise standards or if it can be generalized.,No changes needed for naming conventions as the name is clear and descriptive.
Account,Issue,Delta Continuous Relationship Building,"IF(AVERAGE(Account[ContinuousRelationshipBuilding])=0,"""",AVERAGE(Account[delta_ContinuousRelationshipBuilding]))",Complex Calculation,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The logic includes nested functions and conditional statements, which make it harder to understand without additional context.","Medium - The measure uses nested functions and conditional logic, increasing complexity but still manageable.",Yes - The name is descriptive and reflects the calculation purpose clearly.,"No - No description is provided, which limits understanding of the business purpose.","Yes - The formula uses fully qualified column references (Account[ContinuousRelationshipBuilding], Account[delta_ContinuousRelationshipBuilding]).",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,"Calculates the delta for continuous relationship building, with conditional logic for zero values.",Simplify the logic if possible or provide a clear description to explain the purpose of the measure and the reason for using nested functions.,No changes needed for naming conventions as the name is clear and descriptive.
Account,Warning,Continuous Relationship Building,AVERAGE(Account[ContinuousRelationshipBuilding]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,Yes - The calculation logic is straightforward and uses a simple aggregation function (AVERAGE).,"Low - The measure uses a single aggregation function without nested logic, making it simple.",Yes - The name is descriptive and reflects the calculation purpose clearly.,"No - No description is provided, which limits understanding of the business purpose.",Yes - The formula uses fully qualified column references (Account[ContinuousRelationshipBuilding]).,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Evaluates the average score for continuous relationship building.,Consider adding a description to explain the business purpose of this measure. Evaluate if this measure aligns with enterprise standards or if it can be generalized.,No changes needed for naming conventions as the name is clear and descriptive.
Account,Issue,% of Accounts with sep,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[issep]=""yes""))

RETURN DIVIDE(num,den)",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure is specific to the business context and does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The calculation logic is not immediately clear without a description, as it uses technical terms like 'TPID Count' and 'keepfilters'.","Medium - The measure uses nested functions (CALCULATE and KEEPFILTERS) and variable definitions, which adds moderate complexity.",No - The name does not clearly describe the calculation logic or business purpose. It uses abbreviations ('sep') that are not self-explanatory.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The measure uses fully qualified column references and unqualified measure references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,Calculate the percentage of accounts with a specific attribute ('sep').,Add a clear description to explain the business purpose of the measure. Simplify the calculation logic if possible to improve readability.,"Rename the measure to a more descriptive name, such as 'Percentage_of_Accounts_with_sep', to improve clarity and align with business-focused naming standards."
Account,Issue,% of Accounts with ACSP,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isacsp]=""yes""))

RETURN DIVIDE(num,den)",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure is specific to the business context and does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The calculation logic is not immediately clear without a description, as it uses technical terms like 'TPID Count' and 'keepfilters'.","Medium - The measure uses nested functions (CALCULATE and KEEPFILTERS) and variable definitions, which adds moderate complexity.",No - The name does not clearly describe the calculation logic or business purpose. It uses abbreviations ('ACSP') that are not self-explanatory.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The measure uses fully qualified column references and unqualified measure references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,Calculate the percentage of accounts with a specific attribute ('ACSP').,Add a clear description to explain the business purpose of the measure. Simplify the calculation logic if possible to improve readability.,"Rename the measure to a more descriptive name, such as 'Percentage_of_Accounts_with_ACSP', to improve clarity and align with business-focused naming standards."
Account,Issue,% of Accounts with APT,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isapt]=""yes""))

RETURN DIVIDE(num,den)",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure is specific to the business context and does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The calculation logic is not immediately clear without a description, as it uses technical terms like 'TPID Count' and 'keepfilters'.","Medium - The measure uses nested functions (CALCULATE and KEEPFILTERS) and variable definitions, which adds moderate complexity.",No - The name does not clearly describe the calculation logic or business purpose. It uses abbreviations ('APT') that are not self-explanatory.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The measure uses fully qualified column references and unqualified measure references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,Calculate the percentage of accounts with a specific attribute ('APT').,Add a clear description to explain the business purpose of the measure. Simplify the calculation logic if possible to improve readability.,"Rename the measure to a more descriptive name, such as 'Percentage_of_Accounts_with_APT', to improve clarity and align with business-focused naming standards."
Account,Warning,% of Accounts with CSAA,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[iscsaa]=""yes""))

RETURN DIVIDE(num,den)",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure is specific to the business context and does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"Yes - The calculation logic is straightforward, using a ratio of filtered counts to total counts.","Medium - The measure uses nested functions (CALCULATE, KEEPFILTERS, DIVIDE) but is appropriate for its business purpose.",Yes - The name clearly reflects the calculation logic and business purpose.,"No - No description is provided, which makes it harder for users to understand the measure's purpose.",Yes - The measure uses fully qualified column references and unqualified measure references correctly.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Calculate the percentage of accounts with CSAA status.,Consider adding a description to explain the business purpose of the measure. Ensure the measure aligns with enterprise standards if applicable.,"The naming convention is appropriate, but ensure consistency across similar measures."
Calendar,Issue,Last Refresh Icon,"""🕘""",Undocumented,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures and serves a specific visual purpose.,No - The measure lacks calculation logic and is purely a static value.,Low - The measure is a simple static value with no complexity.,Yes - The name is descriptive and aligns with the measure's purpose.,"No - No description is provided, which makes it harder for users to understand the measure's purpose.",Yes - The measure does not require DAX references due to its simplicity.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Provide a visual indicator for the last refresh.,"Consider whether this measure adds significant business value. If not, it may be unnecessary.","The naming convention is appropriate, but ensure consistency across similar measures."
Calendar,Issue,Information Icon,"""i""",Undocumented,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures and serves a specific visual purpose.,No - The measure lacks calculation logic and is purely a static value.,Low - The measure is a simple static value with no complexity.,Yes - The name is descriptive and aligns with the measure's purpose.,"No - No description is provided, which makes it harder for users to understand the measure's purpose.",Yes - The measure does not require DAX references due to its simplicity.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Provide a visual indicator for information.,"Consider whether this measure adds significant business value. If not, it may be unnecessary.","The naming convention is appropriate, but ensure consistency across similar measures."
Calendar,Critical,Filters Applied Icon,"""🗸""",Undocumented,Yes,Yes - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard business patterns or enterprise measurement standards.,No - The formula is unclear and does not provide any meaningful business calculation.,"Low - The formula is extremely simple, but it lacks any meaningful calculation logic.",No - The name does not clearly reflect the calculation or business purpose of the measure.,"No - No description is provided for this measure, making it unclear what its purpose is.","No - The formula does not reference any DAX expressions or columns, making it irrelevant for analysis.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.000,0.200,0.250,0.500,0.000,The measure does not provide any clear business insight or calculation.,This measure lacks meaningful calculation logic. Consider removing or redefining it to provide business value.,Rename the measure to reflect its purpose or calculation logic. Provide a description to clarify its business use.
Account Planning,Warning,# of Priorities w/ Pipeline,"CALCULATE([# of Priorities] 
,KEEPFILTERS('Account Planning'[Attached To Opportunity] = ""Yes"")
,KEEPFILTERS('Opportunity'[ParentingLevel Oppties]=""TopParentOppties""))",Calculated Measure,Yes,Yes - The formula is unique and does not duplicate other measures.,Yes - This measure aligns with standard business patterns and provides meaningful insights for business users.,Yes - The formula is clear and uses business-focused logic to calculate the number of priorities with pipeline.,"Medium - The formula uses CALCULATE and KEEPFILTERS functions, which are appropriate for the business purpose but add moderate complexity.",Yes - The name clearly reflects the calculation and business purpose of the measure.,"No - No description is provided, which reduces clarity for business users.",Yes - The formula uses fully qualified column references and consistent DAX syntax.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,"Provides the count of priorities with pipeline, which is essential for tracking business opportunities.",Ensure a description is added to improve clarity for business users. The calculation logic is appropriate and does not require changes.,The naming convention is excellent and does not require changes.
Account Planning,Warning,% of Priorities w/ Pipeline,"CALCULATE(DIVIDE([# of Priorities w/ Pipeline],[# of Priorities]),KEEPFILTERS(Opportunity[ParentingLevel Oppties]=""TopParentOppties""))",Ratio Percentage,Yes,Yes - The formula is unique and does not duplicate other measures.,Yes - This measure aligns with standard business patterns and provides meaningful insights for business users.,Yes - The formula is clear and uses business-focused logic to calculate the percentage of priorities with pipeline.,"Medium - The formula uses CALCULATE, DIVIDE, and KEEPFILTERS functions, which are appropriate for the business purpose but add moderate complexity.",Yes - The name clearly reflects the calculation and business purpose of the measure.,"No - No description is provided, which reduces clarity for business users.",Yes - The formula uses fully qualified column references and consistent DAX syntax.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,"Provides the percentage of priorities with pipeline, which is essential for tracking business opportunities.",Ensure a description is added to improve clarity for business users. The calculation logic is appropriate and does not require changes.,The naming convention is excellent and does not require changes.
Account Planning,Warning,# of Account Plans,"CALCULATE (SUMX (VALUES ( 'Account'[AccountPlanID] ),1),Account[Account Plan Attached] = ""Yes"")",Calculated Measure,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure is specific to account planning and does not align with standard enterprise measures like Total Sales or Gross Margin.,No - The calculation logic is not immediately clear without a description. The use of SUMX and CALCULATE with a filter condition requires explanation for business users.,"Medium - The measure uses nested functions (CALCULATE, SUMX, VALUES) and a filter condition, which adds moderate complexity.","Yes - The name is clear, descriptive, and aligns with the measure's purpose.","No - The measure lacks a description, which makes it harder for business users to understand its purpose and calculation logic.",Yes - The measure uses fully qualified column references and adheres to DAX reference standards.,0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,Counts the number of account plans attached to accounts with a 'Yes' status.,Provide a clear description explaining the business purpose and calculation logic of the measure. Consider simplifying the formula if possible.,The naming convention is appropriate; no changes are needed.
Account Planning,Issue,# of Priorities,"SUMX( VALUES( 'Account Planning'[AccountPlanPriorityID] ), 1 )
 ",Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure is specific to account planning and does not align with standard enterprise measures like Total Sales or Gross Margin.,No - The calculation logic is not self-explanatory. The use of SUMX and VALUES without a description makes it unclear for business users.,"Low - The formula is relatively simple, with only two nested functions and no additional filters.","Yes - The name is clear and descriptive, aligning with the measure's purpose.","No - The measure lacks a description, which makes it harder for business users to understand its purpose and calculation logic.",Yes - The measure uses fully qualified column references and adheres to DAX reference standards.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Counts the number of priorities associated with account plans.,Provide a clear description explaining the business purpose and calculation logic of the measure.,The naming convention is appropriate; no changes are needed.
Account Planning,Good,% Accounts w/ Active Plan,"VAR Numerator =
    CALCULATE (
        [# of Account Plans],
        KEEPFILTERS ( 'Account'[Plan Status] = ""Active Plan"" )
    )
RETURN
    DIVIDE( Numerator, [# of Account Plans] )",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures.,"Yes - This measure aligns with standard business patterns as it calculates a percentage, which is a common requirement in enterprise reporting.",Yes - The calculation logic is clear and uses a well-structured DAX formula with a variable and a straightforward DIVIDE function.,"Medium - The measure uses a variable and nested functions, but the logic is appropriate for the business purpose and not overly complex.","Yes - The name is clear, descriptive, and aligns with the measure's purpose.","No - The measure lacks a description, which makes it harder for business users to understand its purpose and calculation logic.",Yes - The measure uses fully qualified column references and adheres to DAX reference standards.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,Calculates the percentage of accounts with active plans.,Add a description to explain the business purpose and calculation logic of the measure.,The naming convention is appropriate; no changes are needed.
Account Planning,Warning,% Accounts w/ No Plan,"VAR Numerator =
    CALCULATE (
        [# of Account Plans],
        KEEPFILTERS ( 'Account'[Plan Status] = ""No Plan"" )
    )
RETURN
    DIVIDE ( Numerator, [# of Account Plans] )",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure is specific to account planning and does not align with standard enterprise measures like Total Sales or Gross Margin.,No - The calculation logic is not immediately clear without a description. The measure lacks a business explanation.,"Medium - The measure uses nested functions (VAR, CALCULATE, KEEPFILTERS, DIVIDE), which adds moderate complexity but is appropriate for the business purpose.","Yes - The name is descriptive and aligns with the calculation logic, clearly indicating the measure's purpose.","No - The measure lacks a description, which reduces its clarity for business users.","Yes - The measure uses fully qualified column references and unqualified measure references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Tracks the percentage of accounts without a plan to identify gaps in account planning.,Add a description to explain the business logic behind the measure. Ensure the calculation logic is documented in plain business terms.,No changes needed as the naming convention is clear and descriptive.
