Table,Measure,Expression,Description,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Measure_Complexity_Level,Measure_Complexity_Explanation,Calculation_Type,Complexity_Recommendations,Has_Commonly_Used_Measure,Commonly_Used_Explanation,DAX_Recommendations,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Measure_Complexity_Score,Measure_Complexity_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Overall_Score,Max_Score,Confidence_Score,Recommendations
Account,Delta Helps Maximize Solutions Value,"IF(AVERAGE(Account[HelpsMaximizeSolutions])=0,"""",AVERAGE(Account[delta_HelpsMaximizeSolutions]))",,good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,"The name 'Delta Helps Maximize Solutions Value' is self-explanatory as it indicates it calculates the change (delta) in helping maximize solutions, which aligns with the context.",The name reflects the calculation as the context shows it calculates the average delta for 'HelpsMaximizeSolutions'.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999,Pattern Usage: Not referenced by any other measures in the model
Account,Delta Joint Planning Addresses Needs,"IF(AVERAGE(Account[JointPlanningAddressesNeeds])=0,"""",AVERAGE(Account[delta_JointPlanningAddressesNeeds]))",,warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (106 characters); Single-line format reduces readability,calculated_measure,Consider simplifying business logic or adding better documentation,No,Not referenced by any other measures in the model,,"The name 'Delta Joint Planning Addresses Needs' is self-explanatory as it indicates it calculates the change (delta) in joint planning addressing needs, which aligns with the context.",The name reflects the calculation as the context shows it calculates the average delta for 'JointPlanningAddressesNeeds'.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999,Complexity: Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (106 characters); Single-line format reduces readability | Complexity Action: Consider simplifying business logic or adding better documentation | Pattern Usage: Not referenced by any other measures in the model
Account,Joint Planning Addresses Needs,AVERAGE(Account[JointPlanningAddressesNeeds]),,good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,"The name 'Joint Planning Addresses Needs' is self-explanatory as it indicates it calculates the value for joint planning addressing needs, which aligns with the context.",The name reflects the calculation as the context shows it averages the 'JointPlanningAddressesNeeds' field.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999,Pattern Usage: Not referenced by any other measures in the model
Account,Delta Continuous Relationship Building,"IF(AVERAGE(Account[ContinuousRelationshipBuilding])=0,"""",AVERAGE(Account[delta_ContinuousRelationshipBuilding]))",,warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (112 characters); Single-line format reduces readability,calculated_measure,Consider simplifying business logic or adding better documentation,No,Not referenced by any other measures in the model,,"The name 'Delta Continuous Relationship Building' is self-explanatory as it indicates it calculates the change (delta) in continuous relationship building, which aligns with the context.",The name reflects the calculation as the context shows it calculates the average delta for 'ContinuousRelationshipBuilding'.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999,Complexity: Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (112 characters); Single-line format reduces readability | Complexity Action: Consider simplifying business logic or adding better documentation | Pattern Usage: Not referenced by any other measures in the model
Account,Continuous Relationship Building,AVERAGE(Account[ContinuousRelationshipBuilding]),,good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,"The name 'Continuous Relationship Building' is self-explanatory as it indicates it calculates the value for continuous relationship building, which aligns with the context.",The name reflects the calculation as the context shows it averages the 'ContinuousRelationshipBuilding' field.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999,Pattern Usage: Not referenced by any other measures in the model
Account,% of Accounts with sep,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[issep]=""yes""))

RETURN DIVIDE(num,den)",,issue,No,,No,,Yes,tpid count,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (110 characters); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% of Accounts with sep' is self-explanatory as it indicates the measure calculates the percentage of accounts with a specific condition ('sep').,The name reflects the calculation as the context shows it calculates the percentage of accounts where 'issep' equals 'yes'.,"The abbreviation 'sep' is not clear and not a standard abbreviation, making the name cryptic.",0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.0,0.4,1.2999999999999998,2.0,0.6499999999999999,"Pattern Usage: Not referenced by any other measures in the model | Abbreviations: The abbreviation 'sep' is not clear and not a standard abbreviation, making the name cryptic."
Account,% of Accounts with ACSP,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isacsp]=""yes""))

RETURN DIVIDE(num,den)",,good,No,,No,,Yes,tpid count,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (111 characters); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% of Accounts with ACSP' is self-explanatory as it indicates the measure calculates the percentage of accounts with a specific condition ('ACSP').,The name reflects the calculation as the context shows it calculates the percentage of accounts where 'isacsp' equals 'yes'.,The abbreviation 'ACSP' is acceptable as it is likely a standard business term or acronym.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999,Pattern Usage: Not referenced by any other measures in the model
Account,% of Accounts with APT,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isapt]=""yes""))

RETURN DIVIDE(num,den)",,good,No,,No,,Yes,tpid count,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (110 characters); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% of Accounts with APT' is self-explanatory as it indicates the measure calculates the percentage of accounts with a specific condition ('APT').,The name reflects the calculation as the context shows it calculates the percentage of accounts where 'isapt' equals 'yes'.,The abbreviation 'APT' is acceptable as it is likely a standard business term or acronym.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999,Pattern Usage: Not referenced by any other measures in the model
Account,% of Accounts with CSAA,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[iscsaa]=""yes""))

RETURN DIVIDE(num,den)",,good,No,,No,,Yes,tpid count,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (111 characters); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% of Accounts with CSAA' is self-explanatory as it indicates the measure calculates the percentage of accounts with a specific condition ('CSAA').,The name reflects the calculation as the context shows it calculates the percentage of accounts where 'iscsaa' equals 'yes'.,The abbreviation 'CSAA' is acceptable as it is likely a standard business term or acronym.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999,Pattern Usage: Not referenced by any other measures in the model
Calendar,Last Refresh Icon,"""🕘""",,warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting,,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'Last Refresh Icon' is self-explanatory as it clearly indicates it represents an icon for the last refresh.,"The name reflects the calculation as the context shows it returns a clock emoji, which aligns with the concept of a 'Last Refresh Icon'.",There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999,Complexity: Medium complexity due to moderate business logic or formatting | Complexity Action: Formula follows measure complexity best practices | Pattern Usage: Not referenced by any other measures in the model
Calendar,Information Icon,"""i""",,warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting,,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'Information Icon' is self-explanatory as it clearly indicates it represents an information icon.,"The name reflects the calculation as the context shows it returns the letter 'i', which is commonly used to represent information.",There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999,Complexity: Medium complexity due to moderate business logic or formatting | Complexity Action: Formula follows measure complexity best practices | Pattern Usage: Not referenced by any other measures in the model
Calendar,Filters Applied Icon,"""🗸""",,warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting,,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'Filters Applied Icon' is self-explanatory as it clearly indicates it represents an icon for applied filters.,"The name reflects the calculation as the context shows it returns a filter emoji, which aligns with the concept of a 'Filters Applied Icon'.",There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999,Complexity: Medium complexity due to moderate business logic or formatting | Complexity Action: Formula follows measure complexity best practices | Pattern Usage: Not referenced by any other measures in the model
Account Planning,# of Priorities w/ Pipeline,"CALCULATE([# of Priorities] 
,KEEPFILTERS('Account Planning'[Attached To Opportunity] = ""Yes"")
,KEEPFILTERS('Opportunity'[ParentingLevel Oppties]=""TopParentOppties""))",,good,No,,No,,Yes,# of priorities,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (166 characters); Well-formatted with line breaks,calculated_measure,Formula follows measure complexity best practices,Yes,"Referenced by 2 measure(s): % of Priorities w/ Pipeline, # Plans with Opportunities",,The name '# of Priorities w/ Pipeline' is self-explanatory as it indicates the measure calculates the count of priorities with a pipeline.,The name reflects the calculation as the context shows it calculates the count of priorities attached to opportunities with a specific parenting level.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.3,0.3,0.18,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.88,2.0,0.94,Complexity: Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (166 characters); Well-formatted with line breaks | Complexity Action: Formula follows measure complexity best practices
Account Planning,% of Priorities w/ Pipeline,"CALCULATE(DIVIDE([# of Priorities w/ Pipeline],[# of Priorities]),KEEPFILTERS(Opportunity[ParentingLevel Oppties]=""TopParentOppties""))",,good,No,,No,,Yes,"# of priorities, # of priorities w/ pipeline",Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (134 characters); Single-line format reduces readability,ratio_percentage,"Format CALCULATE function: CALCULATE(\n    expression,\n    filter1,\n    filter2\n)",No,Not referenced by any other measures in the model,,The name '% of Priorities w/ Pipeline' is self-explanatory as it indicates the measure calculates the percentage of priorities with a pipeline.,The name reflects the calculation as the context shows it calculates the percentage of priorities attached to opportunities with a specific parenting level.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999,Pattern Usage: Not referenced by any other measures in the model
Account Planning,# of Account Plans,"CALCULATE (SUMX (VALUES ( 'Account'[AccountPlanID] ),1),Account[Account Plan Attached] = ""Yes"")",,good,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting,,Formula follows measure complexity best practices,Yes,"Referenced by 16 measure(s): % Accounts w/ Active Plan, % Accounts w/ No Plan, % Accounts w/ Inactive Plan and 13 more",,The name '# of Account Plans' is self-explanatory as it indicates the measure calculates the count of account plans.,The name reflects the calculation as the context shows it calculates the count of account plans attached to accounts.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.3,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.85,2.0,0.925,Complexity: Medium complexity due to moderate business logic or formatting | Complexity Action: Formula follows measure complexity best practices
Account Planning,# of Priorities,"SUMX( VALUES( 'Account Planning'[AccountPlanPriorityID] ), 1 )
 ",,good,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting,,Formula follows measure complexity best practices,Yes,"Referenced by 5 measure(s): # of Priorities w/ Pipeline, % of Priorities w/ Pipeline, Linked to Objectives and 2 more",,The name '# of Priorities' is self-explanatory as it indicates the measure calculates the count of priorities.,The name reflects the calculation as the context shows it calculates the count of priorities based on unique priority IDs.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.3,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.85,2.0,0.925,Complexity: Medium complexity due to moderate business logic or formatting | Complexity Action: Formula follows measure complexity best practices
Account Planning,% Accounts w/ Active Plan,"VAR Numerator =
    CALCULATE (
        [# of Account Plans],
        KEEPFILTERS ( 'Account'[Plan Status] = ""Active Plan"" )
    )
RETURN
    DIVIDE( Numerator, [# of Account Plans] )",,good,No,,No,,Yes,# of account plans,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (183 characters); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% Accounts w/ Active Plan' is self-explanatory as it indicates the measure calculates the percentage of accounts with an active plan.,The name reflects the calculation as the context shows it calculates the percentage of accounts with an active plan status.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999,Pattern Usage: Not referenced by any other measures in the model
Account Planning,% Accounts w/ No Plan,"VAR Numerator =
    CALCULATE (
        [# of Account Plans],
        KEEPFILTERS ( 'Account'[Plan Status] = ""No Plan"" )
    )
RETURN
    DIVIDE ( Numerator, [# of Account Plans] )",,warning,No,,No,,Yes,# of account plans,Medium,Medium complexity due to moderate business logic or formatting. Details: Moderate length expression (180 characters); Well-formatted with line breaks,,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% Accounts w/ No Plan' is self-explanatory as it indicates the measure calculates the percentage of accounts with no plan.,The name reflects the calculation as the context shows it calculates the percentage of accounts with a 'No Plan' status.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.18,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.58,2.0,0.79,Complexity: Medium complexity due to moderate business logic or formatting. Details: Moderate length expression (180 characters); Well-formatted with line breaks | Complexity Action: Formula follows measure complexity best practices | Pattern Usage: Not referenced by any other measures in the model
Account Planning,% Accounts w/ Inactive Plan,"VAR Numerator =
    CALCULATE (
        [# of Account Plans],
        KEEPFILTERS ( 'Account'[Plan Status]  = ""Inactive Plan"" )
    )
RETURN
    DIVIDE ( Numerator, [# of Account Plans],"""" )",,warning,No,,No,,Yes,# of account plans,Medium,Medium complexity due to moderate business logic or formatting. Details: Moderate length expression (190 characters); Well-formatted with line breaks,,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% Accounts w/ Inactive Plan' is self-explanatory as it indicates the measure calculates the percentage of accounts with an inactive plan.,The name reflects the calculation as the context shows it calculates the percentage of accounts with an 'Inactive Plan' status.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.18,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.58,2.0,0.79,Complexity: Medium complexity due to moderate business logic or formatting. Details: Moderate length expression (190 characters); Well-formatted with line breaks | Complexity Action: Formula follows measure complexity best practices | Pattern Usage: Not referenced by any other measures in the model
