Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,AI Analyzed,Unique Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Unique Measure Definition Score,Unique Measure Definition Max Score,Standard Measure Score,Standard Measure Max Score,Business Documentation Score,Business Documentation Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Score,DAX Reference Max Score,Overall Score,Calculation Logic Score,Naming Score,Business Purpose,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account,Critical,Delta Helps Maximize Solutions Value,"IF(AVERAGE(Account[HelpsMaximizeSolutions])=0,"""",AVERAGE(Account[delta_HelpsMaximizeSolutions]))",Complex Calculation,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,No - The measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,No - The calculation logic is not self-explanatory due to the use of nested IF and AVERAGE functions without clear explanation.,"Medium - The formula uses nested functions (IF and AVERAGE), which increases complexity but is not overly complicated.",No - The name is ambiguous and does not clearly reflect the calculation logic or business purpose.,"No - The measure lacks a description, making it unclear for business users.",Yes - The formula uses fully qualified column references (Account[HelpsMaximizeSolutions] and Account[delta_HelpsMaximizeSolutions]).,0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.300,0.400,0.200,"Calculates the delta average value for HelpsMaximizeSolutions, excluding zero values.",Simplify the formula by reducing nested functions and provide a clear description of the measure's purpose.,Rename the measure to 'Delta_Average_Helps_Maximize_Solutions' to clearly reflect the calculation logic and avoid ambiguous terms.
Account,Critical,Delta Joint Planning Addresses Needs,"IF(AVERAGE(Account[JointPlanningAddressesNeeds])=0,"""",AVERAGE(Account[delta_JointPlanningAddressesNeeds]))",Complex Calculation,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,No - The measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,No - The calculation logic is not self-explanatory due to the use of nested IF and AVERAGE functions without clear explanation.,"Medium - The formula uses nested functions (IF and AVERAGE), which increases complexity but is not overly complicated.",No - The name is ambiguous and does not clearly reflect the calculation logic or business purpose.,"No - The measure lacks a description, making it unclear for business users.",Yes - The formula uses fully qualified column references (Account[JointPlanningAddressesNeeds] and Account[delta_JointPlanningAddressesNeeds]).,0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.300,0.400,0.200,"Calculates the delta average value for JointPlanningAddressesNeeds, excluding zero values.",Simplify the formula by reducing nested functions and provide a clear description of the measure's purpose.,Rename the measure to 'Delta_Average_Joint_Planning_Addresses_Needs' to clearly reflect the calculation logic and avoid ambiguous terms.
Account,Issue,Joint Planning Addresses Needs,AVERAGE(Account[JointPlanningAddressesNeeds]),Simple Aggregation,Yes,No - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The measure lacks a description, making it difficult to understand its business purpose.","Low - The formula is straightforward, using a simple AVERAGE function without nested logic.",Yes - The name is descriptive and aligns with the calculation logic.,"No - The measure lacks a description, which reduces clarity for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Evaluate the average value of 'JointPlanningAddressesNeeds' for accounts.,Add a description to explain the business purpose of the measure. Consider aligning the measure with enterprise standards if applicable.,No changes needed; the naming convention is clear and descriptive.
Account,Critical,Delta Continuous Relationship Building,"IF(AVERAGE(Account[ContinuousRelationshipBuilding])=0,"""",AVERAGE(Account[delta_ContinuousRelationshipBuilding]))",Complex Calculation,Yes,No - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The measure lacks a description, and the formula is unnecessarily complex for its business purpose.","High - The formula uses nested IF and AVERAGE functions, making it unnecessarily complex for the intended calculation.",Yes - The name is descriptive and aligns with the calculation logic.,"No - The measure lacks a description, which reduces clarity for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.600,0.200,1.000,Calculate the delta for 'ContinuousRelationshipBuilding' based on specific conditions.,Simplify the formula to reduce complexity. Add a description to explain the business purpose of the measure.,No changes needed; the naming convention is clear and descriptive.
Account,Issue,Continuous Relationship Building,AVERAGE(Account[ContinuousRelationshipBuilding]),Simple Aggregation,Yes,No - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The measure lacks a description, making it difficult to understand its business purpose.","Low - The formula is straightforward, using a simple AVERAGE function without nested logic.",Yes - The name is descriptive and aligns with the calculation logic.,"No - The measure lacks a description, which reduces clarity for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Evaluate the average value of 'ContinuousRelationshipBuilding' for accounts.,Add a description to explain the business purpose of the measure. Consider aligning the measure with enterprise standards if applicable.,No changes needed; the naming convention is clear and descriptive.
Account,Issue,% of Accounts with sep,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[issep]=""yes""))

RETURN DIVIDE(num,den)",Ratio Percentage,Yes,"No - CRITICAL LOGIC: Answer 'No' because the formula duplicates the structure of other measures (e.g., '% of Accounts with ACSP' and '% of Accounts with APT') but uses a different filter condition.","No - This measure is not part of the standard enterprise library (e.g., Total Sales Value, Total Quantity, Gross Margin). It is a specific ratio calculation for a niche business use case.",No - The calculation logic is not self-explanatory due to the lack of description and unclear business context for 'sep'.,"Medium - The measure uses nested functions (CALCULATE and KEEPFILTERS) and variable definitions, which add moderate complexity but are appropriate for the calculation.",No - The name 'Account.% of Accounts with sep' is cryptic and does not clearly describe the business purpose or calculation logic.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The measure uses fully qualified column references (e.g., Account[issep]) and unqualified measure references (e.g., [TPID Count]), adhering to DAX standards.",0.000,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.200,0.200,0.200,Calculate the percentage of accounts with a specific status ('sep').,Consider adding a description to explain the business purpose of the measure. Ensure the calculation logic aligns with enterprise standards and avoids duplication.,"Rename the measure to something more descriptive, such as 'Percentage of Accounts with SEP Status', to improve clarity and business alignment."
Account,Issue,% of Accounts with ACSP,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isacsp]=""yes""))

RETURN DIVIDE(num,den)",Ratio Percentage,Yes,"No - CRITICAL LOGIC: Answer 'No' because the formula duplicates the structure of other measures (e.g., '% of Accounts with sep' and '% of Accounts with APT') but uses a different filter condition.","No - This measure is not part of the standard enterprise library (e.g., Total Sales Value, Total Quantity, Gross Margin). It is a specific ratio calculation for a niche business use case.",No - The calculation logic is not self-explanatory due to the lack of description and unclear business context for 'ACSP'.,"Medium - The measure uses nested functions (CALCULATE and KEEPFILTERS) and variable definitions, which add moderate complexity but are appropriate for the calculation.",No - The name 'Account.% of Accounts with ACSP' is cryptic and does not clearly describe the business purpose or calculation logic.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The measure uses fully qualified column references (e.g., Account[isacsp]) and unqualified measure references (e.g., [TPID Count]), adhering to DAX standards.",0.000,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.200,0.200,0.200,Calculate the percentage of accounts with a specific status ('ACSP').,Consider adding a description to explain the business purpose of the measure. Ensure the calculation logic aligns with enterprise standards and avoids duplication.,"Rename the measure to something more descriptive, such as 'Percentage of Accounts with ACSP Status', to improve clarity and business alignment."
Account,Issue,% of Accounts with APT,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isapt]=""yes""))

RETURN DIVIDE(num,den)",Ratio Percentage,Yes,"No - CRITICAL LOGIC: Answer 'No' because the formula duplicates the structure of other measures (e.g., '% of Accounts with sep' and '% of Accounts with ACSP') but uses a different filter condition.","No - This measure is not part of the standard enterprise library (e.g., Total Sales Value, Total Quantity, Gross Margin). It is a specific ratio calculation for a niche business use case.",No - The calculation logic is not self-explanatory due to the lack of description and unclear business context for 'APT'.,"Medium - The measure uses nested functions (CALCULATE and KEEPFILTERS) and variable definitions, which add moderate complexity but are appropriate for the calculation.",No - The name 'Account.% of Accounts with APT' is cryptic and does not clearly describe the business purpose or calculation logic.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The measure uses fully qualified column references (e.g., Account[isapt]) and unqualified measure references (e.g., [TPID Count]), adhering to DAX standards.",0.000,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.200,0.200,0.200,Calculate the percentage of accounts with a specific status ('APT').,Consider adding a description to explain the business purpose of the measure. Ensure the calculation logic aligns with enterprise standards and avoids duplication.,"Rename the measure to something more descriptive, such as 'Percentage of Accounts with APT Status', to improve clarity and business alignment."
Account,Warning,% of Accounts with CSAA,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[iscsaa]=""yes""))

RETURN DIVIDE(num,den)",Ratio Percentage,Yes,Yes - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,No - This measure is specific to the business context and does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"Yes - The calculation logic is clear, using a numerator and denominator to calculate a percentage.","Medium - The measure uses nested functions (CALCULATE and KEEPFILTERS) and a DIVIDE function, which adds moderate complexity but is appropriate for the business purpose.","Yes - The name clearly reflects the calculation and business purpose, indicating it calculates the percentage of accounts with CSAA.","No - The measure lacks a description, which would help explain its business purpose and calculation logic.","Yes - The measure uses fully qualified column references and unqualified measure references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,"Calculates the percentage of accounts with CSAA, providing insights into account segmentation.",Consider adding a description to explain the business purpose and calculation logic of the measure. Ensure it aligns with enterprise reporting standards if applicable.,The naming convention is appropriate and does not require changes.
Calendar,Critical,Last Refresh Icon,"""🕘""",Undocumented,Yes,Yes - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,No - This measure is ad-hoc and does not align with standard enterprise measures.,"No - The measure does not provide any calculation logic or business context, making it unclear.","Low - The measure uses a simple string assignment, which is not complex.",No - The name does not clearly reflect the purpose or calculation of the measure.,"No - The measure lacks a description, which would help explain its purpose.","Yes - The measure does not involve column or measure references, but the syntax is correct.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.350,0.500,0.200,"Provides a static icon for last refresh, but lacks meaningful business context.",Consider removing or revising this measure to align with enterprise reporting standards and provide meaningful business insights.,Rename the measure to clearly reflect its purpose and avoid ambiguity.
Calendar,Critical,Information Icon,"""i""",Undocumented,Yes,Yes - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,No - This measure is ad-hoc and does not align with standard enterprise measures.,"No - The measure does not provide any calculation logic or business context, making it unclear.","Low - The measure uses a simple string assignment, which is not complex.",No - The name does not clearly reflect the purpose or calculation of the measure.,"No - The measure lacks a description, which would help explain its purpose.","Yes - The measure does not involve column or measure references, but the syntax is correct.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.350,0.500,0.200,"Provides a static icon for information, but lacks meaningful business context.",Consider removing or revising this measure to align with enterprise reporting standards and provide meaningful business insights.,Rename the measure to clearly reflect its purpose and avoid ambiguity.
Calendar,Critical,Filters Applied Icon,"""🗸""",Undocumented,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise reporting measures such as Total Sales Value or Gross Margin.,No - The formula '🗸' does not provide any meaningful calculation logic or business insight.,Low - The formula is extremely simple with no nested functions or complex logic.,No - The name 'Filters Applied Icon' does not clearly describe the measure's purpose or calculation.,No - No description is provided to explain the measure's purpose or business context.,"Yes - The formula does not involve any DAX references, so there are no issues with referencing.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.350,0.500,0.200,No clear business purpose identified.,Consider removing this measure or replacing it with a meaningful calculation that provides business insights.,"Rename the measure to clearly describe its purpose or calculation logic, if it is retained."
Account Planning,Warning,# of Priorities w/ Pipeline,"CALCULATE([# of Priorities] 
,KEEPFILTERS('Account Planning'[Attached To Opportunity] = ""Yes"")
,KEEPFILTERS('Opportunity'[ParentingLevel Oppties]=""TopParentOppties""))",Calculated Measure,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,Yes - This measure aligns with enterprise reporting standards as it calculates a count relevant to business priorities.,Yes - The calculation logic is clear and uses filters to count priorities attached to opportunities.,"Medium - The formula involves multiple filters and nested functions, which are appropriate for the business purpose.",Yes - The name clearly describes the measure's purpose and calculation logic.,No - No description is provided to explain the measure's purpose or business context.,Yes - The formula uses proper DAX references with fully qualified column names and measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,To count the number of priorities attached to opportunities with specific conditions.,Consider adding a description to improve business documentation quality.,No changes needed; the naming convention is clear and business-focused.
Account Planning,Warning,% of Priorities w/ Pipeline,"CALCULATE(DIVIDE([# of Priorities w/ Pipeline],[# of Priorities]),KEEPFILTERS(Opportunity[ParentingLevel Oppties]=""TopParentOppties""))",Ratio Percentage,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,Yes - This measure aligns with enterprise reporting standards as it calculates a percentage relevant to business priorities.,Yes - The calculation logic is clear and uses division and filters to calculate the percentage of priorities with pipeline.,"Medium - The formula involves division and multiple filters, which are appropriate for the business purpose.",Yes - The name clearly describes the measure's purpose and calculation logic.,No - No description is provided to explain the measure's purpose or business context.,Yes - The formula uses proper DAX references with fully qualified column names and measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,To calculate the percentage of priorities attached to opportunities with specific conditions.,Consider adding a description to improve business documentation quality.,No changes needed; the naming convention is clear and business-focused.
Account Planning,Warning,# of Account Plans,"CALCULATE (SUMX (VALUES ( 'Account'[AccountPlanID] ),1),Account[Account Plan Attached] = ""Yes"")",Simple Aggregation,Yes,Yes - The formula is unique and does not duplicate other measures.,No - This measure is specific to the business context and does not align with standard enterprise measures like Total Sales Value or Gross Margin.,No - The calculation logic is not immediately clear without a description. The use of SUMX and VALUES with a filter condition requires explanation for business users.,"Medium - The measure uses nested functions (CALCULATE, SUMX, VALUES) and a filter condition, which adds moderate complexity.","Yes - The name is clear and descriptive, indicating the measure calculates the number of account plans.","No - The measure lacks a description, which makes it harder for business users to understand its purpose and calculation logic.","Yes - The formula uses fully qualified column references (e.g., 'Account'[AccountPlanID]), which is consistent with DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,Counts the number of account plans attached to accounts with a specific condition.,Add a description to explain the calculation logic in plain business terms. Consider simplifying the formula if possible to reduce complexity.,No changes needed for naming conventions as the measure name is clear and descriptive.
Account Planning,Issue,# of Priorities,"SUMX( VALUES( 'Account Planning'[AccountPlanPriorityID] ), 1 )
 ",Simple Aggregation,Yes,Yes - The formula is unique and does not duplicate other measures.,No - This measure is specific to the business context and does not align with standard enterprise measures.,No - The calculation logic is not self-explanatory due to the use of SUMX and VALUES without a description.,"Low - The formula is relatively simple, using SUMX and VALUES without additional nested functions or filters.","Yes - The name is clear and descriptive, indicating the measure calculates the number of priorities.","No - The measure lacks a description, which makes it harder for business users to understand its purpose and calculation logic.","Yes - The formula uses fully qualified column references (e.g., 'Account Planning'[AccountPlanPriorityID]), which is consistent with DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Counts the number of priorities associated with account plans.,Add a description to explain the calculation logic in plain business terms.,No changes needed for naming conventions as the measure name is clear and descriptive.
