Table,Measure,Expression,Description,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Measure_Complexity_Level,Measure_Complexity_Explanation,Calculation_Type,Complexity_Recommendations,Has_Commonly_Used_Measure,DAX_Recommendations,Context,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Measure_Complexity_Score,Measure_Complexity_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Overall_Score,Max_Overall_Score,Confidence_Score
Account,Delta Helps Maximize Solutions Value,"IF(AVERAGE(Account[HelpsMaximizeSolutions])=0,"""",AVERAGE(Account[delta_HelpsMaximizeSolutions]))",,good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows Rule 4 complexity best practices,No,,"Delta Helps Maximize Solutions Value -> Account + IF(AVERAGE(Account[HelpsMaximizeSolutions])=0,"""",AVERAGE(Account[delta_HelpsMaximizeSolutions]))",The name 'Delta Helps Maximize Solutions Value' is self-explanatory as it indicates it calculates the change (delta) in helping maximize solutions.,The name reflects the calculation as the context shows it calculates the average of the delta_HelpsMaximizeSolutions field.,There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account,Delta Joint Planning Addresses Needs,"IF(AVERAGE(Account[JointPlanningAddressesNeeds])=0,"""",AVERAGE(Account[delta_JointPlanningAddressesNeeds]))",,warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (106 characters); Single-line format reduces readability,calculated_measure,Rule 4: Consider simplifying business logic or adding better documentation,No,,"Delta Joint Planning Addresses Needs -> Account + IF(AVERAGE(Account[JointPlanningAddressesNeeds])=0,"""",AVERAGE(Account[delta_JointPlanningAddressesNeeds]))",The name 'Delta Joint Planning Addresses Needs' is self-explanatory as it indicates it calculates the change (delta) in joint planning addressing needs.,The name reflects the calculation as the context shows it calculates the average of the delta_JointPlanningAddressesNeeds field.,There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999
Account,Joint Planning Addresses Needs,AVERAGE(Account[JointPlanningAddressesNeeds]),,good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows Rule 4 complexity best practices,No,,Joint Planning Addresses Needs -> Account + AVERAGE(Account[JointPlanningAddressesNeeds]),The name 'Joint Planning Addresses Needs' is self-explanatory as it indicates it calculates the latest value for joint planning addressing needs.,The name reflects the calculation as the context shows it calculates the average of the 'JointPlanningAddressesNeeds' field.,There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account,Delta Continuous Relationship Building,"IF(AVERAGE(Account[ContinuousRelationshipBuilding])=0,"""",AVERAGE(Account[delta_ContinuousRelationshipBuilding]))",,warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (112 characters); Single-line format reduces readability,calculated_measure,Rule 4: Consider simplifying business logic or adding better documentation,No,,"Delta Continuous Relationship Building -> Account + IF(AVERAGE(Account[ContinuousRelationshipBuilding])=0,"""",AVERAGE(Account[delta_ContinuousRelationshipBuilding]))",The name 'Delta Continuous Relationship Building' is self-explanatory as it indicates it calculates the change (delta) in continuous relationship building.,The name reflects the calculation as the context shows it calculates the average of the delta_ContinuousRelationshipBuilding field.,There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999
Account,Continuous Relationship Building,AVERAGE(Account[ContinuousRelationshipBuilding]),,good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows Rule 4 complexity best practices,No,,Continuous Relationship Building -> Account + AVERAGE(Account[ContinuousRelationshipBuilding]),The name 'Continuous Relationship Building' is self-explanatory as it indicates it calculates the latest value for continuous relationship building.,The name reflects the calculation as the context shows it calculates the average of the 'ContinuousRelationshipBuilding' field.,There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account,% of Accounts with sep,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[issep]=""yes""))

RETURN DIVIDE(num,den)",,critical,No,,No,,Yes,tpid count,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (110 characters); Well-formatted with line breaks,ratio_percentage,Formula follows Rule 4 complexity best practices,No,,"% of Accounts with sep -> Account + var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[issep]=""yes""))

RETURN DIVIDE(num,den) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )",The measure name '% of Accounts with sep' is not self-explanatory because 'sep' is unclear and does not provide enough context to understand its purpose.,The name '% of Accounts with sep' does not reflect the calculation as 'sep' is ambiguous and does not clearly indicate that it calculates the percentage of accounts with 'issep' set to 'yes'.,"The abbreviation 'sep' is unclear and not a standard or widely understood abbreviation, making the name cryptic.",0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.7,2.0,0.35
Account,% of Accounts with ACSP,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isacsp]=""yes""))

RETURN DIVIDE(num,den)",,critical,No,,No,,Yes,tpid count,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (111 characters); Well-formatted with line breaks,ratio_percentage,Formula follows Rule 4 complexity best practices,No,,"% of Accounts with ACSP -> Account + var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isacsp]=""yes""))

RETURN DIVIDE(num,den) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )",The measure name '% of Accounts with ACSP' is not self-explanatory because 'ACSP' is unclear and does not provide enough context to understand its purpose.,The name '% of Accounts with ACSP' does not reflect the calculation as 'ACSP' is ambiguous and does not clearly indicate that it calculates the percentage of accounts with 'isacsp' set to 'yes'.,"The abbreviation 'ACSP' is unclear and not a standard or widely understood abbreviation, making the name cryptic.",0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.7,2.0,0.35
Account,% of Accounts with APT,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isapt]=""yes""))

RETURN DIVIDE(num,den)",,critical,No,,No,,Yes,tpid count,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (110 characters); Well-formatted with line breaks,ratio_percentage,Formula follows Rule 4 complexity best practices,No,,"% of Accounts with APT -> Account + var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isapt]=""yes""))

RETURN DIVIDE(num,den) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )",The measure name '% of Accounts with APT' is not self-explanatory because 'APT' is unclear and does not provide enough context to understand its purpose.,The name '% of Accounts with APT' does not reflect the calculation as 'APT' is ambiguous and does not clearly indicate that it calculates the percentage of accounts with 'isapt' set to 'yes'.,"The abbreviation 'APT' is unclear and not a standard or widely understood abbreviation, making the name cryptic.",0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.7,2.0,0.35
Account,% of Accounts with CSAA,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[iscsaa]=""yes""))

RETURN DIVIDE(num,den)",,critical,No,,No,,Yes,tpid count,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (111 characters); Well-formatted with line breaks,ratio_percentage,Formula follows Rule 4 complexity best practices,No,,"% of Accounts with CSAA -> Account + var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[iscsaa]=""yes""))

RETURN DIVIDE(num,den) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )",The measure name '% of Accounts with CSAA' is not self-explanatory because 'CSAA' is unclear and does not provide enough context to understand its purpose.,The name '% of Accounts with CSAA' does not reflect the calculation as 'CSAA' is ambiguous and does not clearly indicate that it calculates the percentage of accounts with 'iscsaa' set to 'yes'.,"The abbreviation 'CSAA' is unclear and not a standard or widely understood abbreviation, making the name cryptic.",0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.7,2.0,0.35
Calendar,Last Refresh Icon,"""🕘""",,issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,Rule 4: CRITICAL - High complexity measure needs restructuring and simplification; Rule 4: CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,,"Last Refresh Icon -> Calendar + ""🕘""",The measure name 'Last Refresh Icon' is self-explanatory as it clearly indicates it represents an icon related to the last refresh.,"The name 'Last Refresh Icon' reflects the calculation as the context shows it returns a clock emoji, which aligns with the name.",There are no problematic abbreviations in the name 'Last Refresh Icon'.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
Calendar,Information Icon,"""i""",,issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,Rule 4: CRITICAL - High complexity measure needs restructuring and simplification; Rule 4: CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,,"Information Icon -> Calendar + ""i""",The measure name 'Information Icon' is self-explanatory as it clearly indicates it represents an icon for information.,"The name 'Information Icon' reflects the calculation as the context shows it returns the letter 'i', which aligns with the name.",There are no problematic abbreviations in the name 'Information Icon'.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
Calendar,Filters Applied Icon,"""🗸""",,issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,Rule 4: CRITICAL - High complexity measure needs restructuring and simplification; Rule 4: CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,,"Filters Applied Icon -> Calendar + ""🗸""",The measure name 'Filters Applied Icon' is self-explanatory as it clearly indicates it represents an icon for applied filters.,"The name 'Filters Applied Icon' reflects the calculation as the context shows it returns a filter emoji, which aligns with the name.",There are no problematic abbreviations in the name 'Filters Applied Icon'.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
Account Planning,# of Priorities w/ Pipeline,"CALCULATE([# of Priorities] 
,KEEPFILTERS('Account Planning'[Attached To Opportunity] = ""Yes"")
,KEEPFILTERS('Opportunity'[ParentingLevel Oppties]=""TopParentOppties""))",,good,No,,No,,Yes,# of priorities,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (166 characters); Well-formatted with line breaks,calculated_measure,Formula follows Rule 4 complexity best practices,Yes,,"# of Priorities w/ Pipeline -> Account Planning + CALCULATE([# of Priorities] 
,KEEPFILTERS('Account Planning'[Attached To Opportunity] = ""Yes"")
,KEEPFILTERS('Opportunity'[ParentingLevel Oppties]=""TopParentOppties"")) | REFERENCES: # of Priorities -> Account Planning + SUMX( VALUES( 'Account Planning'[AccountPlanPriorityID] ), 1 )
 ",The measure name '# of Priorities w/ Pipeline' is self-explanatory as it indicates it calculates the number of priorities associated with a pipeline.,The name '# of Priorities w/ Pipeline' reflects the calculation as the context shows it counts priorities attached to opportunities with specific filters.,There are no problematic abbreviations in the name '# of Priorities w/ Pipeline'.,0.2,0.2,0.2,0.2,0.3,0.3,0.18,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.88,2.0,0.94
Account Planning,% of Priorities w/ Pipeline,"CALCULATE(DIVIDE([# of Priorities w/ Pipeline],[# of Priorities]),KEEPFILTERS(Opportunity[ParentingLevel Oppties]=""TopParentOppties""))",,good,No,,No,,Yes,"# of priorities, # of priorities w/ pipeline",Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (134 characters); Single-line format reduces readability,ratio_percentage,"Rule 4: Format CALCULATE function: CALCULATE(\n    expression,\n    filter1,\n    filter2\n)",No,,"% of Priorities w/ Pipeline -> Account Planning + CALCULATE(DIVIDE([# of Priorities w/ Pipeline],[# of Priorities]),KEEPFILTERS(Opportunity[ParentingLevel Oppties]=""TopParentOppties"")) | REFERENCES: # of Priorities -> Account Planning + SUMX( VALUES( 'Account Planning'[AccountPlanPriorityID] ), 1 )
 , # of Priorities w/ Pipeline -> Account Planning + CALCULATE([# of Priorities] 
,KEEPFILTERS('Account Planning'[Attached To Opportunity] = ""Yes"")
,KEEPFILTERS('Opportunity'[ParentingLevel Oppties]=""TopParentOppties""))",The measure name '% of Priorities w/ Pipeline' is self-explanatory as it indicates it calculates the percentage of priorities associated with a pipeline.,The name '% of Priorities w/ Pipeline' reflects the calculation as the context shows it divides the number of priorities with a pipeline by the total number of priorities.,There are no problematic abbreviations in the name '% of Priorities w/ Pipeline'.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account Planning,# of Account Plans,"CALCULATE (SUMX (VALUES ( 'Account'[AccountPlanID] ),1),Account[Account Plan Attached] = ""Yes"")",,good,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,Rule 4: CRITICAL - High complexity measure needs restructuring and simplification; Rule 4: CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,,"# of Account Plans -> Account Planning + CALCULATE (SUMX (VALUES ( 'Account'[AccountPlanID] ),1),Account[Account Plan Attached] = ""Yes"")",The measure name '# of Account Plans' is self-explanatory as it indicates it calculates the number of account plans.,The name '# of Account Plans' reflects the calculation as the context shows it counts account plans attached to accounts.,There are no problematic abbreviations in the name '# of Account Plans'.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account Planning,# of Priorities,"SUMX( VALUES( 'Account Planning'[AccountPlanPriorityID] ), 1 )
 ",,good,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,Rule 4: CRITICAL - High complexity measure needs restructuring and simplification; Rule 4: CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,,"# of Priorities -> Account Planning + SUMX( VALUES( 'Account Planning'[AccountPlanPriorityID] ), 1 )
 ",The measure name '# of Priorities' is self-explanatory as it indicates it calculates the number of priorities.,The name '# of Priorities' reflects the calculation as the context shows it counts priorities based on their IDs.,There are no problematic abbreviations in the name '# of Priorities'.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account Planning,% Accounts w/ Active Plan,"VAR Numerator =
    CALCULATE (
        [# of Account Plans],
        KEEPFILTERS ( 'Account'[Plan Status] = ""Active Plan"" )
    )
RETURN
    DIVIDE( Numerator, [# of Account Plans] )",,good,No,,No,,Yes,# of account plans,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (183 characters); Well-formatted with line breaks,ratio_percentage,Formula follows Rule 4 complexity best practices,No,,"% Accounts w/ Active Plan -> Account Planning + VAR Numerator =
    CALCULATE (
        [# of Account Plans],
        KEEPFILTERS ( 'Account'[Plan Status] = ""Active Plan"" )
    )
RETURN
    DIVIDE( Numerator, [# of Account Plans] ) | REFERENCES: # of Account Plans -> Account Planning + CALCULATE (SUMX (VALUES ( 'Account'[AccountPlanID] ),1),Account[Account Plan Attached] = ""Yes"")",The measure name '% Accounts w/ Active Plan' is self-explanatory as it indicates it calculates the percentage of accounts with an active plan.,The name '% Accounts w/ Active Plan' reflects the calculation as the context shows it divides the number of accounts with an active plan by the total number of account plans.,There are no problematic abbreviations in the name '% Accounts w/ Active Plan'.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
