From_Table,From_Column,To_Table,To_Column,Relationship_Type,Issue_Severity,Cardinality,Cross_Filter_Direction,Business_Pattern,Data_Compatibility,Naming_Quality,Performance_Impact,Column_Compatibility_Score,Cardinality_Score,Naming_Score,Cross_Filter_Score,Performance_Score,Overall_Score,Score_Category,Score_Rationale,Severity_Priority,Severity_Color,Severity_Hex_Color,Severity_Visual
Budget,FiscalQuarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,date_relationship,good,acceptable,medium,0.25,0.0,0.15,0.15,0.05,0.6000000000000001,Good,Ensure the cardinality is defined explicitly and verify the data alignment between the columns.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,FiscalQuarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,date_relationship,good,acceptable,medium,0.25,0.0,0.15,0.15,0.05,0.6000000000000001,Good,Ensure the cardinality is defined explicitly and verify the data alignment between the columns.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Close Rates,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,Define the cardinality explicitly as Many-to-One for better clarity and ensure data alignment is above 85%.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Trending,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,Define the cardinality explicitly as Many-to-One for better clarity and ensure data alignment is above 85%.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Budget,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,Define the cardinality explicitly as Many-to-One for better clarity and ensure data alignment is above 85%.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,Define the cardinality explicitly as Many-to-One for better clarity and ensure data alignment is above 85%.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
PY Trending,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,Define the cardinality explicitly as Many-to-One for better clarity and ensure data alignment is above 85%.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Budget,BusinessType,Business Type,Business Type,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,lookup_relationship,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,Define the cardinality explicitly as Many-to-One for better clarity and ensure data alignment is above 85%.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,BusinessType,Business Type,Business Type,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,lookup_relationship,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,Define the cardinality explicitly as Many-to-One for better clarity and ensure data alignment is above 85%.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Close Rates,Business Type,Business Type,Business Type,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,lookup_relationship,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,Define the cardinality explicitly as Many-to-One for better clarity and ensure data alignment is above 85%.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Trending,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,excellent,standard,medium,0.3,0.0,0.2,0.15,0.05,0.7000000000000001,Good,Define the cardinality explicitly as Many-to-One for better clarity and optimization.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Trending,DatasetVersionkey,Trending Week,DatasetVersionKey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,lookup_relationship,excellent,standard,medium,0.3,0.0,0.2,0.15,0.05,0.7000000000000001,Good,Define the cardinality explicitly as Many-to-One or One-to-Many based on the business logic.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Budget,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,excellent,standard,medium,0.3,0.0,0.2,0.15,0.05,0.7000000000000001,Good,Define the cardinality explicitly as Many-to-One for better clarity and optimization.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Budget,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,excellent,standard,medium,0.3,0.0,0.2,0.15,0.05,0.7000000000000001,Good,Define the cardinality explicitly as Many-to-One for better clarity and optimization.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,excellent,standard,medium,0.3,0.0,0.2,0.15,0.05,0.7000000000000001,Good,Define the cardinality explicitly as Many-to-One for better clarity and optimization.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,excellent,standard,medium,0.3,0.0,0.2,0.15,0.05,0.7000000000000001,Good,Define the cardinality explicitly as Many-to-One for better clarity and optimization.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
