Table,Measure,Expression,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Measure_Complexity_Level,Measure_Complexity_Explanation,Calculation_Type,Complexity_Recommendations,Has_Commonly_Used_Measure,Commonly_Used_Explanation,DAX_Recommendations,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Measure_Complexity_Score,Measure_Complexity_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Overall_Score,Max_Score,Confidence_Score
Trending,% Committed,"DIVIDE([Committed + Risk Pipeline],[Qualified Pipeline],BLANK())",good,No,,No,,Yes,"committed + risk pipeline, qualified pipeline",Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% Committed' is self-explanatory as it clearly indicates it represents the percentage of committed pipeline.,"The name reflects the calculation as the context shows it calculates the percentage of committed and risk pipeline to the qualified pipeline, aligning with the name.",There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,% Upside,"DIVIDE([Uncommitted + Upside Pipeline],[Qualified Pipeline],BLANK())",good,No,,No,,Yes,"qualified pipeline, uncommitted + upside pipeline",Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% Upside' is self-explanatory as it clearly indicates it represents the percentage of upside pipeline.,"The name reflects the calculation as the context shows it calculates the percentage of uncommitted and upside pipeline to the qualified pipeline, aligning with the name.",There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,Actual + Schedule,SUM(Trending[ActualBilledRevenue])+SUM(Trending[ScheduledBilledRevenue]),good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Format SUM expressions with line breaks when part of complex calculations,No,Not referenced by any other measures in the model,,The name 'Actual + Schedule' is self-explanatory as it clearly indicates it represents the sum of actual and scheduled values.,"The name reflects the calculation as the context shows it sums actual billed revenue and scheduled billed revenue, aligning with the name.",There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,DBF VTB $,[Total DBF] - [Billed Budget],good,No,,No,,Yes,"billed budget, total dbf",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,Referenced by 1 measure(s): DBF VTB %,,The name 'DBF VTB $' is self-explanatory as it clearly indicates it represents the dollar variance to budget for DBF.,"The name reflects the calculation as the context shows it calculates the difference between total DBF and billed budget, aligning with the name.",There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,DBF VTF $,[Total DBF] - [Billed Forecast],good,No,,No,,Yes,"billed forecast, total dbf",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,Referenced by 1 measure(s): DBF VTF %,,The name 'DBF VTF $' is self-explanatory as it clearly indicates it represents the dollar variance to forecast for DBF.,"The name reflects the calculation as the context shows it calculates the difference between total DBF and billed forecast, aligning with the name.",There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,Qualified Pipeline with Close Plan Attach,"DIVIDE (
    SUM ( Trending[QPClosePlanAttach_Num] ),
    SUM ( Trending[QPClosePlanAttach_Den] ),
    BLANK ()
)",good,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern; Moderate length expression (113 characters); Moderate function nesting (4 nested functions); Well-formatted with line breaks",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,"Referenced by 3 measure(s): Close Plan Attach WoW, Close Plan Attach MoM, Close Plan Attach Latest Week",,The name 'Qualified Pipeline with Close Plan Attach' is self-explanatory as it clearly indicates it relates to a qualified pipeline with a close plan attachment.,"The name reflects the calculation as the context shows it calculates a ratio involving 'QPClosePlanAttach_Num' and 'QPClosePlanAttach_Den', which aligns with the name.",There are no problematic abbreviations in the name. 'QPC' is not part of the measure name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,% Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] = ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",good,No,,No,,Yes,qualified pipeline,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (155 characters); Moderate function nesting (4 nested functions); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,"The name '% Cloud' is self-explanatory as it indicates a percentage related to cloud, which is clarified in the context as the proportion of 'Qualified Pipeline' flagged as 'Commercial Cloud'.",The name reflects the calculation as the context shows it calculates the percentage of 'Qualified Pipeline' flagged as 'Commercial Cloud'.,There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,% Non Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] <> ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",good,No,,No,,Yes,qualified pipeline,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (156 characters); Moderate function nesting (4 nested functions); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,"The name '% Non Cloud' is self-explanatory as it indicates a percentage related to non-cloud, which is clarified in the context as the proportion of 'Qualified Pipeline' not flagged as 'Commercial Cloud'.",The name reflects the calculation as the context shows it calculates the percentage of 'Qualified Pipeline' not flagged as 'Commercial Cloud'.,There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,DBF VTB %,"DIVIDE([DBF VTB $],[Billed Budget],BLANK())",critical,No,,No,,Yes,"billed budget, dbf vtb $",Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'DBF VTB %' is not self-explanatory as it uses abbreviations ('DBF' and 'VTB') that are not immediately clear without additional context.,"The name does not fully reflect the calculation as the context shows it calculates a ratio of 'DBF VTB $' to 'Billed Budget', but the name does not clarify this.",The name contains unclear abbreviations ('DBF' and 'VTB') that are not standard or widely understood.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.7,2.0,0.35
Trending,Qualified Pipeline in High Stage,"DIVIDE (
    SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)

",good,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern; Moderate length expression (108 characters); Moderate function nesting (4 nested functions); Well-formatted with line breaks",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,"Referenced by 3 measure(s): Qualified Pipeline in High Stage Latest Week, Qualified Pipeline in High Stage MoM, Qualified Pipeline in High Stage WoW",,The name 'Qualified Pipeline in High Stage' is self-explanatory as it indicates it relates to the portion of the qualified pipeline in high stages.,"The name reflects the calculation as the context shows it calculates the ratio of 'QualifiedPipeline60' to 'QualifiedPipeline', which aligns with the name.",There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,Qualified Pipeline in Low Stages,"DIVIDE (
    SUM ( Trending[QualifiedPipeline] ) - SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)
",issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern; Moderate length expression (145 characters); Moderate function nesting (5 nested functions); Well-formatted with line breaks",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,Not referenced by any other measures in the model,,The name 'Qualified Pipeline in Low Stages' is self-explanatory as it indicates it relates to the portion of the qualified pipeline in low stages.,"The name reflects the calculation as the context shows it calculates the ratio of the difference between 'QualifiedPipeline' and 'QualifiedPipeline60' to 'QualifiedPipeline', which aligns with the name.",There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
Trending,Uncommitted + Upside Pipeline,[Uncommitted Pipeline] + [Uncommitted Upside Pipeline],good,No,,No,,Yes,"uncommitted pipeline, uncommitted upside pipeline",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,Referenced by 1 measure(s): % Upside,,The name 'Uncommitted + Upside Pipeline' is self-explanatory as it indicates it sums uncommitted and upside pipeline values.,"The name reflects the calculation as the context shows it sums 'Uncommitted Pipeline' and 'Uncommitted Upside Pipeline', which aligns with the name.",There are no problematic abbreviations in the name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,CPC to Budget,"VAR X = [Billed Budget] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",critical,No,,No,,Yes,"billed budget, committed + risk pipeline",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Moderate length expression (254 characters); Moderate function nesting (7 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,Yes,"Referenced by 4 measure(s): CPC to Budget MoM, CPC to Budget WoW, CPC to Budget Latest Week and 1 more",,The name 'CPC to Budget' is not self-explanatory as 'CPC' is an unclear abbreviation without additional context.,"The name does not fully reflect the calculation as the context shows it involves a complex calculation with 'Billed Budget', 'Committed + Risk Pipeline', and other components, but the name does not clarify this.","The name contains the unclear abbreviation 'CPC', which is not standard or widely understood.",0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.7,2.0,0.35
Trending,CPC to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",critical,No,,No,,Yes,"billed forecast, committed + risk pipeline",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Moderate length expression (256 characters); Moderate function nesting (7 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,Yes,"Referenced by 4 measure(s): CPC to Forecast MoM, CPC to Forecast WoW, CPC to Forecast YoY and 1 more",,The name 'CPC to Forecast' is not self-explanatory as 'CPC' is an unclear abbreviation without additional context.,"The name does not fully reflect the calculation as the context shows it involves a complex calculation with 'Billed Forecast', 'Committed + Risk Pipeline', and other components, but the name does not clarify this.","The name contains the unclear abbreviation 'CPC', which is not standard or widely understood.",0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.7,2.0,0.35
Trending,CPC to Forecast Latest Week KPI,[CPC to Forecast Latest Week] * 100,critical,No,,No,,Yes,cpc to forecast latest week,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,Not referenced by any other measures in the model,,The name 'CPC to Forecast Latest Week KPI' is not self-explanatory as 'CPC' is an unclear abbreviation without additional context.,"The name does not fully reflect the calculation as the context shows it multiplies 'CPC to Forecast Latest Week' by 100, but the name does not clarify this.","The name contains the unclear abbreviation 'CPC', which is not standard or widely understood.",0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.4,2.0,0.2
Trending,CPC to Budget MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",critical,No,,No,,Yes,cpc to budget,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Excessively long expression (583 characters); Excessive function nesting (15 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,No,Not referenced by any other measures in the model,,The name 'CPC to Budget MoM' is not self-explanatory as 'CPC' is an unclear abbreviation without additional context.,"The name does not fully reflect the calculation as the context shows it calculates the month-over-month change in 'CPC to Budget', but the name does not clarify this.","The name contains the unclear abbreviation 'CPC', which is not standard or widely understood.",0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.4,2.0,0.2
Trending,CPC to Budget WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",critical,No,,No,,Yes,cpc to budget,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Excessively long expression (581 characters); Excessive function nesting (15 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,No,Not referenced by any other measures in the model,,The name 'CPC to Budget WoW' is not self-explanatory as 'CPC' is an unclear abbreviation without additional context.,"The name does not fully reflect the calculation as the context shows it calculates the week-over-week change in 'CPC to Budget', but the name does not clarify this.","The name contains the unclear abbreviation 'CPC', which is not standard or widely understood.",0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,0.4,2.0,0.2
