Table Name,Issue_Severity,Measure Name,Measure Formula,AI Classification,Calculation Type,Have Same Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Duplicate Measure Definition Score,Duplicate Measure Definition Max Score,Standard Library Measures Score,Standard Library Measures Max Score,Business Documentation Quality Score,Business Documentation Quality Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Standards Score,DAX Reference Standards Max Score,AI Confidence,Overall Score,Calculation Logic Score,Naming Score,Business Value,Technical Quality,Standardization Level,Business Purpose,User Friendliness,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account,Warning,Account.% of Accounts with ACSP,,Good,Ratio Percentage,"Yes - The formula is identical to other measures except for the filter condition, which changes based on the column being filtered.",Yes - Percentage-based measures are common in business intelligence and align with standard reporting needs.,Yes - The calculation logic is straightforward and uses clear variable names for numerator and denominator.,Low - The measure uses simple aggregation and filtering with no advanced DAX constructs.,Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references and unqualified measure references.,0.100,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Calculate the percentage of accounts with a specific attribute (ACSP).,High,Consider consolidating similar measures into a single parameterized measure to reduce redundancy.,Ensure all measures have descriptions to improve clarity and usability for business users.
Account,Warning,Account.% of Accounts with APT,,Good,Ratio Percentage,"Yes - The formula is identical to other measures except for the filter condition, which changes based on the column being filtered.",Yes - Percentage-based measures are common in business intelligence and align with standard reporting needs.,Yes - The calculation logic is straightforward and uses clear variable names for numerator and denominator.,Low - The measure uses simple aggregation and filtering with no advanced DAX constructs.,Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references and unqualified measure references.,0.100,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Calculate the percentage of accounts with a specific attribute (APT).,High,Consider consolidating similar measures into a single parameterized measure to reduce redundancy.,Ensure all measures have descriptions to improve clarity and usability for business users.
Account,Warning,Account.% of Accounts with CSAA,,Good,Ratio Percentage,"Yes - The formula is identical to other measures except for the filter condition, which changes based on the column being filtered.",Yes - Percentage-based measures are common in business intelligence and align with standard reporting needs.,Yes - The calculation logic is straightforward and uses clear variable names for numerator and denominator.,Low - The measure uses simple aggregation and filtering with no advanced DAX constructs.,Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references and unqualified measure references.,0.100,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Calculate the percentage of accounts with a specific attribute (CSAA).,High,Consider consolidating similar measures into a single parameterized measure to reduce redundancy.,Ensure all measures have descriptions to improve clarity and usability for business users.
Calendar,Issue,Calendar.Last Refresh Icon,,Fair,Undocumented,No - The measure is unique and does not duplicate other measures.,No - The measure is not a standard business metric and serves a cosmetic purpose.,"No - The measure lacks a description, and its purpose is not immediately clear.",Low - The measure is a simple constant value with no complexity.,Yes - The name reflects its purpose as a refresh icon.,"No - The measure lacks a description, which would help clarify its purpose.",Yes - The measure uses proper DAX syntax for a constant value.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.800,0.750,0.500,1.000,Medium,Fair,Ad_Hoc,Display a refresh icon for cosmetic purposes.,Medium,Consider whether this measure adds significant business value or if it can be replaced with a more meaningful metric.,Add a description to clarify the purpose of this measure.
Calendar,Critical,Calendar.Information Icon,,Poor,Undocumented,"No - The measure has a unique definition, but it does not serve a meaningful business purpose.",No - This measure does not align with any standard business measure or provide analytical value.,No - The formula 'i' is not self-explanatory and lacks any meaningful calculation logic.,"Low - The measure is extremely simple, with no nested functions or complex logic.",No - The name does not clearly describe the purpose or calculation of the measure.,"No - The measure lacks a description, making it unclear what its purpose is.","Yes - The formula does not involve any DAX references, so there are no issues with referencing.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.900,0.350,0.500,0.200,Medium,Poor,Ad_Hoc,No clear business purpose identified.,Low,Remove this measure or replace it with a meaningful calculation that provides business value.,"Rename the measure to reflect its purpose or calculation, if it is retained."
Calendar,Critical,Calendar.Filters Applied Icon,,Poor,Undocumented,"No - The measure has a unique definition, but it does not serve a meaningful business purpose.",No - This measure does not align with any standard business measure or provide analytical value.,No - The formula '🗸' is not self-explanatory and lacks any meaningful calculation logic.,"Low - The measure is extremely simple, with no nested functions or complex logic.",No - The name does not clearly describe the purpose or calculation of the measure.,"No - The measure lacks a description, making it unclear what its purpose is.","Yes - The formula does not involve any DAX references, so there are no issues with referencing.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.900,0.350,0.500,0.200,Medium,Poor,Ad_Hoc,No clear business purpose identified.,Low,Remove this measure or replace it with a meaningful calculation that provides business value.,"Rename the measure to reflect its purpose or calculation, if it is retained."
Account Planning,Warning,Account Planning.# of Priorities w/ Pipeline,,Good,Calculated Measure,No - The measure has a unique definition and serves a specific business purpose.,Yes - The measure aligns with standard business patterns for tracking priorities with pipelines.,Yes - The calculation logic is clear and aligns with the measure's name.,"Medium - The measure uses CALCULATE with multiple KEEPFILTERS, which adds moderate complexity.",Yes - The name is descriptive and reflects the calculation logic.,"No - The measure lacks a description, which would help clarify its purpose further.",Yes - The measure uses proper DAX references for columns and tables.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,"Tracks the number of priorities associated with a pipeline, filtered by specific conditions.",High,Add a description to explain the business purpose of the measure in plain language.,No changes needed; the naming convention is appropriate.
Account Planning,Warning,Account Planning.% of Priorities w/ Pipeline,,Good,Ratio Percentage,No - The measure has a unique definition and serves a specific business purpose.,Yes - The measure aligns with standard business patterns for calculating percentages.,Yes - The calculation logic is clear and aligns with the measure's name.,"Medium - The measure uses CALCULATE with DIVIDE and KEEPFILTERS, which adds moderate complexity.",Yes - The name is descriptive and reflects the calculation logic.,"No - The measure lacks a description, which would help clarify its purpose further.",Yes - The measure uses proper DAX references for columns and tables.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Calculates the percentage of priorities associated with a pipeline.,High,Add a description to explain the business purpose of the measure in plain language.,No changes needed; the naming convention is appropriate.
Account Planning,Warning,Account Planning.# of Account Plans,,Good,Calculated Measure,No - The measure has a unique definition and serves a specific business purpose.,Yes - The measure aligns with standard business patterns for counting account plans.,Yes - The calculation logic is clear and aligns with the measure's name.,"Medium - The measure uses CALCULATE with SUMX and a condition, which adds moderate complexity.",Yes - The name is descriptive and reflects the calculation logic.,"No - The measure lacks a description, which would help clarify its purpose further.",Yes - The measure uses proper DAX references for columns and tables.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Counts the number of account plans attached to accounts.,High,Add a description to explain the business purpose of the measure in plain language.,No changes needed; the naming convention is appropriate.
Account Planning,Issue,Account Planning.# of Priorities,,Fair,Simple Aggregation,"No - The measure uses a unique calculation logic with SUMX and VALUES, which is not duplicated elsewhere.",No - This measure is not a common enterprise standard measure like Total Sales or YoY Growth.,"No - The calculation logic is not intuitive for business users as it uses SUMX with a constant value of 1, which requires explanation.",Low - The measure uses basic DAX functions (SUMX and VALUES) with no significant complexity.,No - The name '# of Priorities' is not fully descriptive and could be improved to clarify its purpose.,"No - The measure lacks a description, which makes it harder for users to understand its purpose.","Yes - The measure uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.900,0.550,0.500,0.600,Medium,Fair,Ad_Hoc,Counts the number of priorities in account plans.,Medium,Consider adding a description to explain the purpose of the measure and its calculation logic. Evaluate if this measure aligns with enterprise standards or if it can be replaced with a more standardized approach.,"Rename the measure to something more descriptive, such as 'Total Account Plan Priorities', to better reflect its purpose."
Account Planning,Warning,Account Planning.% Accounts w/ Active Plan,,Good,Ratio Percentage,No - The measure uses a unique calculation logic with a VAR and DIVIDE function specific to 'Active Plan' status.,Yes - This measure aligns with common business needs for percentage-based insights on account plans.,"Yes - The logic is straightforward and calculates the percentage of accounts with an active plan, which is easy to understand.","Medium - The measure uses a VAR and DIVIDE function with KEEPFILTERS, which adds moderate complexity.",Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which could help clarify its purpose further.","Yes - The measure uses proper DAX references, adhering to best practices.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,"Provides the percentage of accounts with an active plan, supporting account management insights.",High,Add a description to explain the measure's purpose and calculation logic in plain business terms.,The naming convention is already clear and descriptive; no changes are needed.
Account Planning,Warning,Account Planning.% Accounts w/ No Plan,,Good,Ratio Percentage,No - The measure uses a unique calculation logic specific to 'No Plan' status.,Yes - This measure aligns with common business needs for percentage-based insights on account plans.,"Yes - The logic is straightforward and calculates the percentage of accounts with no plan, which is easy to understand.","Medium - The measure uses a VAR and DIVIDE function with KEEPFILTERS, which adds moderate complexity.",Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which could help clarify its purpose further.","Yes - The measure uses proper DAX references, adhering to best practices.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,"Provides the percentage of accounts with no plan, supporting account management insights.",High,Add a description to explain the measure's purpose and calculation logic in plain business terms.,The naming convention is already clear and descriptive; no changes are needed.
Account Planning,Warning,# Plans with Opportunities,"CALCULATE (
    [# of Account Plans],
    FILTER (
        VALUES ( 'Account'[AccountPlanID] ),
        [# of Priorities w/ Pipeline] > 0
    )
)",Good,Calculated Measure,No - The measure has a unique calculation logic that filters account plans based on pipeline priorities.,Yes - The measure aligns with standard business needs for tracking account plans with opportunities.,No - The calculation logic is not immediately clear without a description or documentation.,"Medium - The measure uses nested functions and filtering, which adds moderate complexity.",Yes - The name clearly reflects the purpose and calculation of the measure.,"No - The measure lacks a description, which makes it harder to understand its business purpose.",Yes - The measure uses fully qualified column references and proper DAX syntax.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Tracks the number of account plans that have associated opportunities.,Medium,Add a clear description to explain the business purpose of the measure. Ensure the logic is documented for easier understanding.,No changes needed as the naming convention is clear and descriptive.
Account Planning,Warning,% Accounts w/ Plan w/ Oppty,"DIVIDE ( [# Plans with Opportunities], [# of Account Plans],"""" )",Good,Ratio Percentage,No - The measure has a unique calculation logic that calculates a percentage.,Yes - The measure aligns with standard business needs for percentage-based insights.,No - The calculation logic is not immediately clear without a description or documentation.,"Low - The measure uses a simple DIVIDE function, making it straightforward.",Yes - The name clearly reflects the purpose and calculation of the measure.,"No - The measure lacks a description, which makes it harder to understand its business purpose.",Yes - The measure uses proper DAX syntax and references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Calculates the percentage of accounts with plans that have opportunities.,High,Add a clear description to explain the business purpose of the measure.,No changes needed as the naming convention is clear and descriptive.
Account Planning,Warning,% Accounts w/ Strategic or Full Plan,"
    DIVIDE ( [# Accounts w/ Strategic or Full Plan], [# of Account Plans],"""")",Good,Ratio Percentage,No - The measure has a unique calculation logic that calculates a percentage.,Yes - The measure aligns with standard business needs for percentage-based insights.,No - The calculation logic is not immediately clear without a description or documentation.,"Low - The measure uses a simple DIVIDE function, making it straightforward.",Yes - The name clearly reflects the purpose and calculation of the measure.,"No - The measure lacks a description, which makes it harder to understand its business purpose.",Yes - The measure uses proper DAX syntax and references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Calculates the percentage of accounts with strategic or full plans.,High,Add a clear description to explain the business purpose of the measure.,No changes needed as the naming convention is clear and descriptive.
Account Planning,Warning,Account Planning.% Plans Manager Reviewed (last 6 months),,Good,Ratio Percentage,No - The measure uses a unique calculation logic involving a ratio of two distinct measures.,Yes - Percentage-based measures like this are common in enterprise reporting for tracking performance.,Yes - The formula is straightforward and uses a clear ratio calculation.,Low - The measure uses a simple DIVIDE function with no additional complexity.,Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax and references other measures correctly.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the percentage of account plans reviewed by managers in the last six months.,High,Ensure all percentage-based measures follow a similar pattern of using DIVIDE for clarity and consistency.,Maintain the current naming convention but add a description to improve business user understanding.
Account Planning,Warning,Account Planning.# Accounts w/ Stakeholder Map,,Good,Simple Aggregation,No - The measure uses a unique filter condition to calculate the count of accounts with stakeholder maps.,Yes - Counting accounts with specific attributes is a common business requirement.,Yes - The formula is straightforward and uses a clear filter condition.,Low - The measure uses a simple CALCULATE function with a single filter condition.,Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax and references other measures correctly.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Counts the number of accounts with stakeholder maps.,High,Ensure all count-based measures follow a similar pattern of using CALCULATE with appropriate filters.,Maintain the current naming convention but add a description to improve business user understanding.
Account Planning,Warning,Account Planning.% Accounts w/ Stakeholder Map,,Good,Ratio Percentage,No - The measure uses a unique calculation logic involving a ratio of two distinct measures.,Yes - Percentage-based measures like this are common in enterprise reporting for tracking performance.,Yes - The formula is straightforward and uses a clear ratio calculation.,Low - The measure uses a simple DIVIDE function with no additional complexity.,Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax and references other measures correctly.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the percentage of accounts with stakeholder maps.,High,Ensure all percentage-based measures follow a similar pattern of using DIVIDE for clarity and consistency.,Maintain the current naming convention but add a description to improve business user understanding.
Account Planning,Issue,Account Planning.Modified On,,Fair,Complex Calculation,No - The formula is unique and does not duplicate other measures in the dataset.,No - The measure is specific to tracking account modification recency and does not align with standard enterprise measures like Total Sales or YoY Growth.,"No - The formula uses nested IF statements without clear documentation, making it difficult to understand the business logic.","Medium - The formula involves nested IF statements and conditional logic, which adds moderate complexity.",No - The name 'Modified On' is ambiguous and does not clearly describe the calculation logic or purpose.,"No - The measure lacks a description, which makes it harder for users to understand its purpose.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.900,0.500,0.400,0.600,Medium,Fair,Ad_Hoc,Tracks whether an account has been modified within the last 30 days.,Medium,Add a description to explain the business logic behind the measure. Simplify the nested IF statements if possible or provide comments for clarity.,"Rename the measure to something more descriptive, such as 'Account_Modified_Within_30_Days'."
Account Planning,Critical,Account Planning.Last Reviewed,,Poor,Undocumented,No - The formula is unique but incomplete and does not duplicate other measures.,No - The measure is specific to account review tracking and does not align with standard enterprise measures.,"No - The formula is incomplete and lacks documentation, making it unclear.","High - The formula uses multiple nested functions and SWITCH logic, which increases complexity.",No - The name 'Last Reviewed' is vague and does not clearly describe the calculation logic.,"No - The measure lacks a description, making it difficult to understand its purpose.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.800,0.200,0.200,0.200,Medium,Poor,Ad_Hoc,Tracks the last review status of accounts.,Low,Complete the formula and add a description to explain the business logic. Simplify the nested logic if possible.,"Rename the measure to something more descriptive, such as 'Account_Last_Reviewed_Status'."
