Table,Measure,Expression,Description,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Has_Commonly_Used_Measure,DAX_Recommendations,Context,Unqualified_Measures_Score,Unqualified_Measures_Explanation,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Is_Name_Not_Reflecting_Expression,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
Security Measures,CurrentUserFirstName,"LOOKUPVALUE(DimSecurity_AllAliases[FirstName],DimSecurity_AllAliases[Email],USERPRINCIPALNAME())",,No,,No,,No,,Yes,,"CurrentUserFirstName -> Security Measures + LOOKUPVALUE(DimSecurity_AllAliases[FirstName],DimSecurity_AllAliases[Email],USERPRINCIPALNAME())",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Security Measures,Main Greeting,"""Welcome, "" & [CurrentUserFirstName] & "". Here are your Funding Insights for "" & TODAY()",,No,,No,,Yes,currentuserfirstname,No,,"Main Greeting -> Security Measures + ""Welcome, "" & [CurrentUserFirstName] & "". Here are your Funding Insights for "" & TODAY() | REFERENCES: CurrentUserFirstName -> Security Measures + LOOKUPVALUE(DimSecurity_AllAliases[FirstName],DimSecurity_AllAliases[Email],USERPRINCIPALNAME())",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Security Measures,Approved_ElevatedAccess,"
// For Security Model. Don't edit
IF ( 
    SUMX ( 'DimSecurityOverride' , 
            SEARCH ( [CurrentUserAliasQuotaCheck], 'DimSecurityOverride'[ElevatedaccessTO] ,, 0 )
         ) ,
    1 ,
    0
)",,No,,No,,Yes,currentuseraliasquotacheck,No,,"Approved_ElevatedAccess -> Security Measures + 
// For Security Model. Don't edit
IF ( 
    SUMX ( 'DimSecurityOverride' , 
            SEARCH ( [CurrentUserAliasQuotaCheck], 'DimSecurityOverride'[ElevatedaccessTO] ,, 0 )
         ) ,
    1 ,
    0
) | REFERENCES: CurrentUserAliasQuotaCheck -> Security Measures + LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME()))",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Security Measures,Approved_ManagerAccess,"
// FOR SECURITY MODEL. DO NOT EDIT
IF ( 
    SUMX ( 'DimSecurityOverride',
        SEARCH ( [CurrentUserAliasQuotaCheck] , 'DimSecurityOverride'[Manager] , , 0 )
    ) ,
    1 ,
    0
)",,No,,No,,Yes,currentuseraliasquotacheck,No,,"Approved_ManagerAccess -> Security Measures + 
// FOR SECURITY MODEL. DO NOT EDIT
IF ( 
    SUMX ( 'DimSecurityOverride',
        SEARCH ( [CurrentUserAliasQuotaCheck] , 'DimSecurityOverride'[Manager] , , 0 )
    ) ,
    1 ,
    0
) | REFERENCES: CurrentUserAliasQuotaCheck -> Security Measures + LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME()))",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Security Measures,Approved_UserAccess,"
// FOR SECURITY MODEL. DO NOT EDIT
IF ( 
    SUMX ( 'DimSecurityOverride',
        SEARCH ( [CurrentUserAliasQuotaCheck] , 'DimSecurityOverride'[USER_Name] ,, 0 )
    ) ,
    1 ,
    0
)",,No,,No,,Yes,currentuseraliasquotacheck,No,,"Approved_UserAccess -> Security Measures + 
// FOR SECURITY MODEL. DO NOT EDIT
IF ( 
    SUMX ( 'DimSecurityOverride',
        SEARCH ( [CurrentUserAliasQuotaCheck] , 'DimSecurityOverride'[USER_Name] ,, 0 )
    ) ,
    1 ,
    0
) | REFERENCES: CurrentUserAliasQuotaCheck -> Security Measures + LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME()))",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Utility Measures,Select Top Filters,"IFERROR(IF(ISFILTERED('DimDate'[FiscalQuarter]),""SELECTED QUARTER:""&"" ""&VALUES('DimDate'[FiscalQuarter]),""-""),""SELECTED QUARTER:""&"" ""&""MULTIPLE"")",,No,,No,,No,,No,,"Select Top Filters -> Utility Measures + IFERROR(IF(ISFILTERED('DimDate'[FiscalQuarter]),""SELECTED QUARTER:""&"" ""&VALUES('DimDate'[FiscalQuarter]),""-""),""SELECTED QUARTER:""&"" ""&""MULTIPLE"")",0.2,No qualified references - simpler measure,0.0,The name 'Select Top Filters' does not clearly indicate its purpose or calculation even with the context provided.,0.0,"The name does not accurately describe the calculation, which involves determining selected fiscal quarters or multiple selections.",0.4,,0.4,0.4,0.2,critical,1,RED,#FF0000
Utility Measures,Refresh Date Icon,"""🕘""",,Yes,"Refresh Date Icon, Icon",No,,No,,No,"DUPLICATE EXPRESSION: This measure has identical expression to: Refresh Date Icon, Icon","Refresh Date Icon -> Utility Measures + ""🕘""",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Utility Measures,Dot for Hover,""".""",,No,,No,,No,,No,,"Dot for Hover -> Utility Measures + "".""",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Utility Measures,Coming Soon,"""Coming Soon""",,No,,No,,No,,No,,"Coming Soon -> Utility Measures + ""Coming Soon""",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Utility Measures,Rollover Status,"""FY25 Rollover Status (Hover)""",,No,,No,,No,,No,,"Rollover Status -> Utility Measures + ""FY25 Rollover Status (Hover)""",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Utility Measures,Date Grain Link,"VAR IsCommercial = MAX(DimCustomer[IsCommercial])
VAR DG_Enterprise = ""https://msxi.microsoft.com/User/Home/report/a017f9cf-d2ed-48c6-81f3-e914928849d2/3109?reportTab=ReportSection""
VAR DG_SMC = ""https://msxi.microsoft.com/User/Home/report/b09b6889-99d4-4714-8709-1a1b57b906ba/3109?reportTab=ReportSection""
RETURN
IF(IsCommercial=1,DG_Enterprise,DG_SMC)",,No,,No,,No,,No,,"Date Grain Link -> Utility Measures + VAR IsCommercial = MAX(DimCustomer[IsCommercial])
VAR DG_Enterprise = ""https://msxi.microsoft.com/User/Home/report/a017f9cf-d2ed-48c6-81f3-e914928849d2/3109?reportTab=ReportSection""
VAR DG_SMC = ""https://msxi.microsoft.com/User/Home/report/b09b6889-99d4-4714-8709-1a1b57b906ba/3109?reportTab=ReportSection""
RETURN
IF(IsCommercial=1,DG_Enterprise,DG_SMC)",0.2,No qualified references - simpler measure,0.0,The name 'Date Grain Link' does not clearly convey its purpose of returning URLs based on customer type.,0.0,"The name does not reflect the calculation, which involves determining URLs based on customer type.",0.4,,0.4,0.4,0.2,critical,1,RED,#FF0000
Sample Images,Save button,"""💾""",,No,,No,,No,,No,,"Save button -> Sample Images + ""💾""",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Sample Images,Attachment Image,"""📎""",,No,,No,,No,,No,,"Attachment Image -> Sample Images + ""📎""",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Sample Images,EmailIcon,"""📧""",,No,,No,,No,,No,,"EmailIcon -> Sample Images + ""📧""",0.2,No qualified references - simpler measure,0.2,,0.4,,0.0,The name 'EmailIcon' uses an abbreviation ('Icon') that could be unclear.,0.6,0.4,0.30000000000000004,critical,1,RED,#FF0000
M_ACR,$ ACR,"VAR CY = SUM(ACR_CY[AzureConsumedRevenue])
VAR PY = SUM(ACR_PY[AzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenue]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",,No,,No,,No,,Yes,,"$ ACR -> M_ACR + VAR CY = SUM(ACR_CY[AzureConsumedRevenue])
VAR PY = SUM(ACR_PY[AzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenue]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.2,No qualified references - simpler measure,0.0,The name '$ ACR' does not clearly indicate its purpose or calculation even with the context provided.,0.0,"The name does not reflect the calculation, which involves summing Azure Consumed Revenue across various conditions.",0.0,The name uses an abbreviation ('ACR') that is unclear without additional context.,0.0,0.0,0.0,critical,1,RED,#FF0000
M_ACR,$ Organic ACR,"CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]=""N/A"")",,No,,Yes,$ acr,Yes,$ acr,Yes,"Please use unqualified measures references i.e., [Measure Name] instead of Fully Qualified reference i.e., Table[MeasureName] or 'Table'[MeasureName]. Referenced measures: $ acr","$ Organic ACR -> M_ACR + CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]=""N/A"") | REFERENCES: $ ACR -> M_ACR + VAR CY = SUM(ACR_CY[AzureConsumedRevenue])
VAR PY = SUM(ACR_PY[AzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenue]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.0,Has qualified references - complex measure,0.0,The name '$ Organic ACR' does not clearly indicate its purpose or calculation even with the context provided.,0.0,"The name does not reflect the calculation, which involves filtering Azure Consumed Revenue by 'N/A' adjustment flags.",0.0,The name uses an abbreviation ('ACR') that is unclear without additional context.,0.0,0.0,0.0,critical,1,RED,#FF0000
M_ACR,$ ACR Adjustments for Comp,"CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]<>""N/A"")",,No,,Yes,$ acr,Yes,$ acr,No,"Please use unqualified measures references i.e., [Measure Name] instead of Fully Qualified reference i.e., Table[MeasureName] or 'Table'[MeasureName]. Referenced measures: $ acr","$ ACR Adjustments for Comp -> M_ACR + CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]<>""N/A"") | REFERENCES: $ ACR -> M_ACR + VAR CY = SUM(ACR_CY[AzureConsumedRevenue])
VAR PY = SUM(ACR_PY[AzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenue]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.0,Has qualified references - complex measure,0.0,The name '$ ACR Adjustments for Comp' does not clearly indicate its purpose or calculation even with the context provided.,0.0,"The name does not reflect the calculation, which involves filtering Azure Consumed Revenue by non-'N/A' adjustment flags.",0.0,The name uses abbreviations ('ACR' and 'Comp') that are unclear without additional context.,0.0,0.0,0.0,critical,1,RED,#FF0000
M_ACR,$ ACR All Except Date,"CALCULATE(M_ACR[$ ACR], ALLEXCEPT(DimDate,DimDate[FiscalMonth]))",,No,,Yes,$ acr,Yes,$ acr,No,"Please use unqualified measures references i.e., [Measure Name] instead of Fully Qualified reference i.e., Table[MeasureName] or 'Table'[MeasureName]. Referenced measures: $ acr","$ ACR All Except Date -> M_ACR + CALCULATE(M_ACR[$ ACR], ALLEXCEPT(DimDate,DimDate[FiscalMonth])) | REFERENCES: $ ACR -> M_ACR + VAR CY = SUM(ACR_CY[AzureConsumedRevenue])
VAR PY = SUM(ACR_PY[AzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenue]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.0,Has qualified references - complex measure,0.0,The name '$ ACR All Except Date' does not clearly indicate its purpose or calculation even with the context provided.,0.0,"The name does not reflect the calculation, which involves applying ALLEXCEPT to Azure Consumed Revenue.",0.0,The name uses an abbreviation ('ACR') that is unclear without additional context.,0.0,0.0,0.0,critical,1,RED,#FF0000
M_ACR,$ Gross ACR,"VAR CY = SUM(ACR_CY[AzureConsumedRevenueGross])
VAR PY = SUM(ACR_PY[AzureConsumedRevenueGross])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenueGross]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",,No,,No,,No,,Yes,,"$ Gross ACR -> M_ACR + VAR CY = SUM(ACR_CY[AzureConsumedRevenueGross])
VAR PY = SUM(ACR_PY[AzureConsumedRevenueGross])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenueGross]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.2,No qualified references - simpler measure,0.0,The name '$ Gross ACR' does not clearly indicate its purpose or calculation even with the context provided.,0.0,"The name does not reflect the calculation, which involves summing gross Azure Consumed Revenue.",0.0,The name uses an abbreviation ('ACR') that is unclear without additional context.,0.0,0.0,0.0,critical,1,RED,#FF0000
M_ACR,$ Average Daily ACR,"
VAR Days = [# Days in Month]
VAR DaysCurrent = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),TODAY(),DAY)
VAR ACR = M_ACR[$ ACR]
VAR SelectedMonth = [DATE - Latest Selected Month]
VAR AzureDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]), DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage"")
VAR AzureCurrentM = [DATE - Azure Current Month]
VAR Today = TODAY()
VAR AzureLastClosed = M_Date[DATE - Last Closed Azure Month]
VAR CurrentMonthFY = M_Date[DATE + 1 Month After Last Closed Azure Month]
VAR SourceDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""AzureDateGrain"")
VAR DaysSource = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),SourceDate,DAY)
VAR DaysSourceFY = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[CreateDate]=CurrentMonthFY),SourceDate,DAY)
RETURN
IF(SelectedMonth = AzureCurrentM,DIVIDE(ACR, DaysSource),IF(SelectedMonth > AzureLastClosed,BLANK(),DIVIDE(ACR, Days)))
--IF(SelectedMonth > AzureCurrentM,DIVIDE(ACR, DaysSourceFY),IF(SelectedMonth > AzureLastClosed,BLANK(),DIVIDE(ACR, Days)))",,No,,Yes,"$ acr, date + 1 month after last closed azure month, date - last closed azure month",Yes,"# days in month, $ acr, date + 1 month after last closed azure month, date - azure current month, date - last closed azure month, date - latest selected month",Yes,"Please use unqualified measures references i.e., [Measure Name] instead of Fully Qualified reference i.e., Table[MeasureName] or 'Table'[MeasureName]. Referenced measures: $ acr, date + 1 month after last closed azure month, date - last closed azure month","$ Average Daily ACR -> M_ACR + 
VAR Days = [# Days in Month]
VAR DaysCurrent = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),TODAY(),DAY)
VAR ACR = M_ACR[$ ACR]
VAR SelectedMonth = [DATE - Latest Selected Month]
VAR AzureDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]), DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage"")
VAR AzureCurrentM = [DATE - Azure Current Month]
VAR Today = TODAY()
VAR AzureLastClosed = M_Date[DATE - Last Closed Azure Month]
VAR CurrentMonthFY = M_Date[DATE + 1 Month After Last Closed Azure Month]
VAR SourceDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""AzureDateGrain"")
VAR DaysSource = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),SourceDate,DAY)
VAR DaysSourceFY = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[CreateDate]=CurrentMonthFY),SourceDate,DAY)
RETURN
IF(SelectedMonth = AzureCurrentM,DIVIDE(ACR, DaysSource),IF(SelectedMonth > AzureLastClosed,BLANK(),DIVIDE(ACR, Days)))
--IF(SelectedMonth > AzureCurrentM,DIVIDE(ACR, DaysSourceFY),IF(SelectedMonth > AzureLastClosed,BLANK(),DIVIDE(ACR, Days))) | REFERENCES: # Days in Month -> M_Date + [Start End Date Diff] + 1, $ ACR -> M_ACR + VAR CY = SUM(ACR_CY[AzureConsumedRevenue])
VAR PY = SUM(ACR_PY[AzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenue]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A), DATE + 1 Month After Last Closed Azure Month -> M_Date + 
// Returns the start date of the month after the last closed azure month
VAR LastAzureClosedMonth = [DATE - Last Closed Azure Month]
VAR OneMonthAfter = EDATE ( LastAzureClosedMonth, 1)
RETURN
OneMonthAfter, DATE - Azure Current Month -> M_Date + 
// Returns the value of the latest selected month
VAR LatestSelectedMonth = CALCULATE ( MAX('DimDate'[MonthStartDate]), DimDate[IsCurrentAzureMonth]=1 )
RETURN
LatestSelectedMonth, DATE - Last Closed Azure Month -> M_Date + 
// Returns start date of last closed Azure month
VAR LastClosedAzureMonth = CALCULATE(SELECTEDVALUE('DimDate'[MonthStartDate]), ALL('DimDate'), 'DimDate'[IsLastAzureClosedMonth] = 1)
RETURN
LastClosedAzureMonth, DATE - Latest Selected Month -> M_Date + 
// Returns the value of the latest selected month
VAR LatestSelectedMonth = CALCULATE ( MAX('DimDate'[MonthStartDate]) )
RETURN
LatestSelectedMonth",0.0,Has qualified references - complex measure,0.0,The name '$ Average Daily ACR' does not clearly indicate its purpose or calculation even with the context provided.,0.0,"The name does not reflect the calculation, which involves dividing Azure Consumed Revenue by days in a month or other date-based logic.",0.0,The name uses an abbreviation ('ACR') that is unclear without additional context.,0.0,0.0,0.0,critical,1,RED,#FF0000
