Table,Measure,Expression,Description,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Measure_Complexity_Level,Measure_Complexity_Explanation,Calculation_Type,Complexity_Recommendations,Has_Commonly_Used_Measure,Commonly_Used_Explanation,DAX_Recommendations,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Measure_Complexity_Score,Measure_Complexity_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Overall_Score,Max_Overall_Score,Confidence_Score
Trending,% Committed,"DIVIDE([Committed + Risk Pipeline],[Qualified Pipeline],BLANK())",,good,No,,No,,Yes,"committed + risk pipeline, qualified pipeline",Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% Committed' is self-explanatory as it clearly indicates it calculates the percentage of committed pipeline.,The name reflects the calculation as the context shows it calculates the percentage of committed and at-risk pipeline relative to the qualified pipeline.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,% Upside,"DIVIDE([Uncommitted + Upside Pipeline],[Qualified Pipeline],BLANK())",,good,No,,No,,Yes,"qualified pipeline, uncommitted + upside pipeline",Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% Upside' is self-explanatory as it clearly indicates it calculates the percentage of upside pipeline.,The name reflects the calculation as the context shows it calculates the percentage of uncommitted and upside pipeline relative to the qualified pipeline.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,Actual + Schedule,SUM(Trending[ActualBilledRevenue])+SUM(Trending[ScheduledBilledRevenue]),,good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Format SUM expressions with line breaks when part of complex calculations,No,Not referenced by any other measures in the model,,The name 'Actual + Schedule' is self-explanatory as it clearly indicates it sums actual and scheduled values.,The name reflects the calculation as the context shows it sums actual billed revenue and scheduled billed revenue.,There are no cryptic abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,DBF VTB $,[Total DBF] - [Billed Budget],,warning,No,,No,,Yes,"billed budget, total dbf",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,Referenced by 1 measure(s): DBF VTB %,,The name 'DBF VTB $' is not self-explanatory as it uses abbreviations that are not immediately clear without additional context.,"The name reflects the calculation as the context shows it calculates the difference between Total DBF and Billed Budget, which aligns with the name.",The abbreviations 'DBF' and 'VTB' are standard Microsoft business terms and are acceptable.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.0,0.2,0.4,0.4,0.4,0.4,1.5,2.0,0.75
Trending,DBF VTF $,[Total DBF] - [Billed Forecast],,warning,No,,No,,Yes,"billed forecast, total dbf",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,Referenced by 1 measure(s): DBF VTF %,,The name 'DBF VTF $' is not self-explanatory as it uses abbreviations that are not immediately clear without additional context.,"The name reflects the calculation as the context shows it calculates the difference between Total DBF and Billed Forecast, which aligns with the name.",The abbreviations 'DBF' and 'VTF' are standard Microsoft business terms and are acceptable.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.0,0.2,0.4,0.4,0.4,0.4,1.5,2.0,0.75
Trending,Qualified Pipeline with Close Plan Attach,"DIVIDE (
    SUM ( Trending[QPClosePlanAttach_Num] ),
    SUM ( Trending[QPClosePlanAttach_Den] ),
    BLANK ()
)",,good,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern; Moderate length expression (113 characters); Moderate function nesting (4 nested functions); Well-formatted with line breaks",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,"Referenced by 3 measure(s): Close Plan Attach WoW, Close Plan Attach MoM, Close Plan Attach Latest Week",,"The name clearly indicates that the measure relates to the qualified pipeline with a close plan attached, which aligns with the context provided.","The name accurately reflects the calculation in the context, which is a division of two fields related to the qualified pipeline with a close plan attached.",There are no cryptic or unclear abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,% Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] = ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",,good,No,,No,,Yes,qualified pipeline,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (155 characters); Moderate function nesting (4 nested functions); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,"The name indicates that the measure calculates a percentage related to 'Cloud', which is clear in the context of the business.","The name reflects the calculation in the context, which is the percentage of the qualified pipeline related to 'Commercial Cloud'.",There are no cryptic or unclear abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,% Non Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] <> ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",,good,No,,No,,Yes,qualified pipeline,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (156 characters); Moderate function nesting (4 nested functions); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,"The name indicates that the measure calculates a percentage related to 'Non Cloud', which is clear in the context of the business.","The name reflects the calculation in the context, which is the percentage of the qualified pipeline not related to 'Commercial Cloud'.",There are no cryptic or unclear abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,DBF VTB %,"DIVIDE([DBF VTB $],[Billed Budget],BLANK())",,warning,No,,No,,Yes,"billed budget, dbf vtb $",Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name is not self-explanatory as it uses abbreviations ('DBF' and 'VTB') that are not immediately clear without additional context.,"The name reflects the calculation in the context, which is the percentage of DBF variance to budget.",The abbreviations 'DBF' and 'VTB' are acceptable as they are standard Microsoft business terms.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.0,0.2,0.4,0.4,0.4,0.4,1.5,2.0,0.75
Trending,Qualified Pipeline in High Stage,"DIVIDE (
    SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)

",,good,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern; Moderate length expression (108 characters); Moderate function nesting (4 nested functions); Well-formatted with line breaks",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,"Referenced by 3 measure(s): Qualified Pipeline in High Stage Latest Week, Qualified Pipeline in High Stage MoM, Qualified Pipeline in High Stage WoW",,"The name clearly indicates that the measure relates to the qualified pipeline in high stages, which aligns with the context provided.","The name reflects the calculation in the context, which is the ratio of the qualified pipeline in high stages to the total qualified pipeline.",There are no cryptic or unclear abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,Qualified Pipeline in Low Stages,"DIVIDE (
    SUM ( Trending[QualifiedPipeline] ) - SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)
",,issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern; Moderate length expression (145 characters); Moderate function nesting (5 nested functions); Well-formatted with line breaks",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,Not referenced by any other measures in the model,,"The name clearly indicates that the measure relates to the qualified pipeline in low stages, which aligns with the context provided.","The name reflects the calculation in the context, which is the ratio of the qualified pipeline in low stages to the total qualified pipeline.",There are no cryptic or unclear abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
Trending,Uncommitted + Upside Pipeline,[Uncommitted Pipeline] + [Uncommitted Upside Pipeline],,good,No,,No,,Yes,"uncommitted pipeline, uncommitted upside pipeline",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,Referenced by 1 measure(s): % Upside,,"The name clearly indicates that the measure calculates the sum of uncommitted and upside pipeline, which aligns with the context provided.","The name reflects the calculation in the context, which is the sum of uncommitted pipeline and uncommitted upside pipeline.",There are no cryptic or unclear abbreviations in the measure name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,CPC to Budget,"VAR X = [Billed Budget] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,critical,No,,No,,Yes,"billed budget, committed + risk pipeline",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Moderate length expression (254 characters); Moderate function nesting (7 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,Yes,"Referenced by 4 measure(s): CPC to Budget MoM, CPC to Budget WoW, CPC to Budget Latest Week and 1 more",,The name is not self-explanatory as 'CPC' is not a standard abbreviation and its meaning is unclear without additional context.,"The name reflects the calculation in the context, which is the ratio of committed and risk pipeline to the budget.",The abbreviation 'CPC' is unclear and not a standard business term.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.0,0.2,0.4,0.4,0.0,0.4,1.1,2.0,0.55
Trending,CPC to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,critical,No,,No,,Yes,"billed forecast, committed + risk pipeline",High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Moderate length expression (256 characters); Moderate function nesting (7 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,Yes,"Referenced by 4 measure(s): CPC to Forecast MoM, CPC to Forecast WoW, CPC to Forecast YoY and 1 more",,The name is not self-explanatory as 'CPC' is not a standard abbreviation and its meaning is unclear without additional context.,"The name reflects the calculation in the context, which is the ratio of committed and risk pipeline to the forecast.",The abbreviation 'CPC' is unclear and not a standard business term.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.0,0.2,0.4,0.4,0.0,0.4,1.1,2.0,0.55
Trending,CPC to Forecast Latest Week KPI,[CPC to Forecast Latest Week] * 100,,critical,No,,No,,Yes,cpc to forecast latest week,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,Not referenced by any other measures in the model,,The name is not self-explanatory as 'CPC' is not a standard abbreviation and its meaning is unclear without additional context.,"The name reflects the calculation in the context, which is the CPC to forecast for the latest week multiplied by 100.",The abbreviation 'CPC' is unclear and not a standard business term.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.0,0.2,0.4,0.4,0.0,0.4,0.8,2.0,0.4
Trending,CPC to Budget MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,critical,No,,No,,Yes,cpc to budget,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Excessively long expression (583 characters); Excessive function nesting (15 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,No,Not referenced by any other measures in the model,,The name is not self-explanatory as 'CPC' is not a standard abbreviation and its meaning is unclear without additional context.,"The name reflects the calculation in the context, which is the month-over-month change in CPC to budget.",The abbreviation 'CPC' is unclear and not a standard business term.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.0,0.2,0.4,0.4,0.0,0.4,0.8,2.0,0.4
Trending,CPC to Budget WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,critical,No,,No,,Yes,cpc to budget,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Excessively long expression (581 characters); Excessive function nesting (15 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,No,Not referenced by any other measures in the model,,The name is not self-explanatory as 'CPC' is not a standard abbreviation and its meaning is unclear without additional context.,"The name reflects the calculation in the context, which is the week-over-week change in CPC to budget.",The abbreviation 'CPC' is unclear and not a standard business term.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.0,0.2,0.4,0.4,0.0,0.4,0.8,2.0,0.4
