Table,Measure,Expression,Description,Table_Tokens,Measure_Tokens,Expression_Tokens,Description_Tokens,Total_Row_Tokens,Normalized_Expression,Has_Empty_Expression,Has_Duplicate,Duplicate_Measure_Names,Uses_IFERROR,Uses_INTERSECT,TREATAS_Recommendation,Uses_Division_Instead_Of_DIVIDE,DIVIDE_Recommendation,Uses_FILTER_In_CALCULATE,FILTER_CALCULATE_Recommendation,Uses_FILTER_With_Measure,FILTER_MEASURE_Recommendation,Uses_Percentage_Syntax,PERCENTAGE_Recommendation,Direct_Measure_Reference,Has_Qualified_Measure_References,Qualified_Referenced_Measures,DAX_Recommendations,Critical_Score,Max_Critical_Score,Issue_Score,Max_Issue_Score,Warning_Score,Max_Warning_Score,Total_DAX_Score,Max_Total_DAX_Score,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Name_Not_Reflecting,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
Trending,% Committed,"DIVIDE([Committed + Risk Pipeline],[Qualified Pipeline],BLANK())",,1,3,14,0,29,"divide([committed + risk pipeline],[qualified pipeline],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The term 'Committed' is vague without additional context.,0.5,"The name does not fully reflect the calculation, which involves 'Committed + Risk Pipeline' and 'Qualified Pipeline'.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,% Upside,"DIVIDE([Uncommitted + Upside Pipeline],[Qualified Pipeline],BLANK())",,1,3,17,0,32,"divide([uncommitted + upside pipeline],[qualified pipeline],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The term 'Upside' is vague without additional context.,0.5,"The name does not fully reflect the calculation, which involves 'Uncommitted + Upside Pipeline' and 'Qualified Pipeline'.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,Actual + Schedule,SUM(Trending[ActualBilledRevenue])+SUM(Trending[ScheduledBilledRevenue]),,1,3,18,0,33,sum(trending[actualbilledrevenue])+sum(trending[scheduledbilledrevenue]),False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,DBF VTB $,[Total DBF] - [Billed Budget],,1,5,11,0,27,[total dbf] - [billed budget],False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The abbreviation 'DBF VTB' is unclear.,0.5,"The name does not fully reflect the calculation, which involves '[Total DBF]' and '[Billed Budget]'.",0.5,The abbreviation 'DBF VTB' is not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,DBF VTF $,[Total DBF] - [Billed Forecast],,1,5,11,0,27,[total dbf] - [billed forecast],False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The abbreviation 'DBF VTF' is unclear.,0.5,"The name does not fully reflect the calculation, which involves '[Total DBF]' and '[Billed Forecast]'.",0.5,The abbreviation 'DBF VTF' is not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline with Close Plan Attach,"DIVIDE (
    SUM ( Trending[QPClosePlanAttach_Num] ),
    SUM ( Trending[QPClosePlanAttach_Den] ),
    BLANK ()
)",,1,6,35,0,53,"divide ( sum ( trending[qpcloseplanattach_num] ), sum ( trending[qpcloseplanattach_den] ), blank () )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,% Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] = ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",,1,2,40,0,54,"var x = calculate( [qualified pipeline], keepfilters(product[commercial cloud flag] = ""commercial cloud"" ) ) return divide(x,[qualified pipeline],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The term 'Cloud' is vague without additional context.,0.5,"The name does not fully reflect the calculation, which involves 'Qualified Pipeline' and a filter on 'Commercial Cloud'.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,% Non Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] <> ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",,1,3,40,0,55,"var x = calculate( [qualified pipeline], keepfilters(product[commercial cloud flag] <> ""commercial cloud"" ) ) return divide(x,[qualified pipeline],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The term 'Non Cloud' is vague without additional context.,0.5,"The name does not fully reflect the calculation, which involves 'Qualified Pipeline' and a filter on 'Non Commercial Cloud'.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,DBF VTB %,"DIVIDE([DBF VTB $],[Billed Budget],BLANK())",,1,5,16,0,32,"divide([dbf vtb $],[billed budget],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The abbreviation 'DBF VTB' is unclear.,0.5,"The name does not fully reflect the calculation, which involves '[DBF VTB $]' and '[Billed Budget]'.",0.5,The abbreviation 'DBF VTB' is not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline in High Stage,"DIVIDE (
    SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)

",,1,5,27,0,45,"divide ( sum ( trending[qualifiedpipeline60] ), sum ( trending[qualifiedpipeline] ), blank() )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Qualified Pipeline in Low Stages,"DIVIDE (
    SUM ( Trending[QualifiedPipeline] ) - SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)
",,1,6,36,0,55,"divide ( sum ( trending[qualifiedpipeline] ) - sum ( trending[qualifiedpipeline60] ), sum ( trending[qualifiedpipeline] ), blank() )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not clearly indicate what 'low stages' refers to or how the calculation is performed.,0.0,,0.0,,1.0,0.0,0.6666666666666666,issue,2,ORANGE,#FFA500
Trending,Uncommitted + Upside Pipeline,[Uncommitted Pipeline] + [Uncommitted Upside Pipeline],,1,7,15,0,34,[uncommitted pipeline] + [uncommitted upside pipeline],False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'uncommitted' or 'upside' pipeline means or how they are calculated.,0.0,,0.0,,1.0,0.0,0.6666666666666666,issue,2,ORANGE,#FFA500
Trending,CPC to Budget,"VAR X = [Billed Budget] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,1,4,74,0,90,"var x = [billed budget] - sum ( 'trending'[actualbilledrevenue] ) - sum ( 'trending'[scheduledbilledrevenue] ) var y = [committed + risk pipeline] + sum('trending'[runrateprojections]) return if (x < 0, blank(),divide ( y, x , blank() ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'CPC' is not explained, and the name does not clarify the calculation.",0.5,"The name does not reflect the detailed calculation involving billed budget, actual billed revenue, and other components.",0.5,The abbreviation 'CPC' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,1,4,74,0,90,"var x = [billed forecast] - sum ( 'trending'[actualbilledrevenue] ) - sum ( 'trending'[scheduledbilledrevenue] ) var y = [committed + risk pipeline] + sum('trending'[runrateprojections]) return if (x < 0, blank(),divide ( y, x , blank() ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'CPC' is not explained, and the name does not clarify the calculation.",0.5,"The name does not reflect the detailed calculation involving billed forecast, actual billed revenue, and other components.",0.5,The abbreviation 'CPC' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Forecast Latest Week KPI,[CPC to Forecast Latest Week] * 100,,1,7,10,0,30,[cpc to forecast latest week] * 100,False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'CPC' and the term 'Latest Week KPI' are not explained, making the measure unclear.",0.5,The name does not reflect that the measure multiplies 'CPC to Forecast Latest Week' by 100.,0.5,The abbreviation 'CPC' and the term 'KPI' are not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Budget MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,6,155,0,173,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevmonthkey = selectedkey - 4 var currentval = calculate( [cpc to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [cpc to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = prevmonthkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'CPC' and 'MoM' are not explained, and the name does not clarify the calculation.",0.5,The name does not reflect the detailed calculation involving month-over-month changes in 'CPC to Budget'.,0.5,The abbreviations 'CPC' and 'MoM' are unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Budget WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,6,155,0,173,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var currentval = calculate( [cpc to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [cpc to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = prevweekkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'CPC' and 'WoW' are not explained, and the name does not clarify the calculation.",0.5,The name does not reflect the detailed calculation involving week-over-week changes in 'CPC to Budget'.,0.5,The abbreviations 'CPC' and 'WoW' are unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Budget MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,7,157,0,177,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevmonthkey = selectedkey - 4 var currentval = calculate( [qualified pipeline coverage to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [qualified pipeline coverage to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = prevmonthkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Qualified Pipeline Coverage' or 'MoM' means or how the calculation is performed.,0.5,The name does not reflect the detailed calculation involving month-over-month changes in 'Qualified Pipeline Coverage to Budget'.,0.5,The abbreviation 'MoM' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Budget WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,7,157,0,177,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var currentval = calculate( [qualified pipeline coverage to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [qualified pipeline coverage to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = prevweekkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Qualified Pipeline Coverage' or 'WoW' means or how the calculation is performed.,0.5,The name does not reflect the detailed calculation involving week-over-week changes in 'Qualified Pipeline Coverage to Budget'.,0.5,The abbreviation 'WoW' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Additional Pipeline Needed Latest Week,"VAR  A = CALCULATE( ( [Pipeline Target Unround] * ( [Billed Budget] - SUM( Trending[ActualBilledRevenue] ) - SUM( Trending[ScheduledBilledRevenue] ) ) )
    - ( SUM( Trending[QualifiedPipeline] ) + SUM( Trending[RunRateProjections] ) )
    ,KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))

RETURN IF(OR(A <= 0,[QPC to Budget KPI] > 0.995),BLANK(),A)",,1,5,114,0,131,"var a = calculate( ( [pipeline target unround] * ( [billed budget] - sum( trending[actualbilledrevenue] ) - sum( trending[scheduledbilledrevenue] ) ) ) - ( sum( trending[qualifiedpipeline] ) + sum( trending[runrateprojections] ) ) ,keepfilters( 'trending week'[week type] = ""latest week"" )) return if(or(a <= 0,[qpc to budget kpi] > 0.995),blank(),a)",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Additional Pipeline Needed' means or how it is calculated.,0.5,"The name does not reflect the detailed calculation involving pipeline target, billed budget, and other components.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,Additional Pipeline Needed MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR Latest =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PW =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevMonthKey
        )
    )

RETURN
    IF(Latest <= 0, 0, Latest) - IF(PW <= 0, 0, PW)
",,1,5,146,0,164,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevmonthkey = selectedkey - 4 var latest = calculate( [additional pipeline needed base], filter( all('trending week'), 'trending week'[datasetversionkey] = selectedkey ) ) var pw = calculate( [additional pipeline needed base], filter( all('trending week'), 'trending week'[datasetversionkey] = prevmonthkey ) ) return if(latest <= 0, 0, latest) - if(pw <= 0, 0, pw)",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Additional Pipeline Needed' or 'MoM' means or how the calculation is performed.,0.5,The name does not reflect the detailed calculation involving month-over-month changes in 'Additional Pipeline Needed'.,0.5,The abbreviation 'MoM' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
