Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,AI Analyzed,Have Same Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Duplicate Measure Definition Score,Duplicate Measure Definition Max Score,Standard Library Measures Score,Standard Library Measures Max Score,Business Documentation Quality Score,Business Documentation Quality Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Standards Score,DAX Reference Standards Max Score,Overall Score,Calculation Logic Score,Naming Score,Business Purpose,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Trending,Warning,% Committed,"DIVIDE([Committed + Risk Pipeline],[Qualified Pipeline],BLANK())",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,Yes - The measure aligns with enterprise standards for ratio/percentage calculations.,Yes - The formula is straightforward and uses clear DAX functions to calculate the percentage of committed pipeline.,Low - The measure uses simple DAX functions and is easy to interpret.,"Yes - The name is descriptive and reflects the calculation purpose, aligning with naming convention standards.","No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The formula uses unqualified measure references, adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,Calculates the percentage of committed pipeline relative to the qualified pipeline.,The calculation logic is appropriate and does not require changes. Adding a description would improve usability.,The naming convention is excellent; no changes are needed.
Trending,Warning,% Upside,"DIVIDE([Uncommitted + Upside Pipeline],[Qualified Pipeline],BLANK())",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,Yes - The measure aligns with enterprise standards for ratio/percentage calculations.,Yes - The formula is straightforward and uses clear DAX functions to calculate the percentage of upside pipeline.,Low - The measure uses simple DAX functions and is easy to interpret.,"Yes - The name is descriptive and reflects the calculation purpose, aligning with naming convention standards.","No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The formula uses unqualified measure references, adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,Calculates the percentage of upside pipeline relative to the qualified pipeline.,The calculation logic is appropriate and does not require changes. Adding a description would improve usability.,The naming convention is excellent; no changes are needed.
Trending,Issue,Actual + Schedule,SUM(Trending[ActualBilledRevenue])+SUM(Trending[ScheduledBilledRevenue]),Simple Aggregation,Yes,"No - The measure combines two distinct fields (ActualBilledRevenue and ScheduledBilledRevenue) using SUM, which is unique within the dataset.",No - The measure does not align with predefined enterprise standards like Total Sales Value or Gross Margin.,"No - The calculation logic is not immediately clear without a description, and the name does not fully explain the measure's purpose.",Low - The measure uses basic aggregation functions (SUM) and does not involve nested or complex logic.,No - The name 'Actual + Schedule' is vague and does not clearly describe the calculation or business purpose.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The formula uses fully qualified column references (Trending[ActualBilledRevenue], Trending[ScheduledBilledRevenue]), adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.450,0.500,0.400,Combines actual billed revenue and scheduled billed revenue for reporting purposes.,"Add a description to explain the measure's purpose and ensure it aligns with enterprise standards. Consider renaming the measure to something more descriptive, such as 'Total Actual and Scheduled Revenue'.","Use a name that clearly reflects the calculation and business purpose, such as 'Total_Actual_Scheduled_Revenue'."
Trending,Warning,DBF VTB $,[Total DBF] - [Billed Budget],Calculated Measure,Yes,"No - The measure calculates the difference between Total DBF and Billed Budget, which is unique within the dataset.",Yes - The measure aligns with enterprise standards as it calculates a key business metric (variance to budget).,No - The name 'DBF VTB $' is cryptic and does not clearly explain the calculation or business purpose.,Low - The measure uses a simple subtraction operation without nested functions.,No - The name uses abbreviations ('DBF VTB $') that are not self-explanatory and may confuse business users.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The formula uses unqualified measure references ([Total DBF], [Billed Budget]), adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.600,0.800,0.400,Calculates the variance between Total DBF and Billed Budget for financial analysis.,Add a description to explain the measure's purpose and calculation logic. Ensure the measure name is more descriptive and business-focused.,Rename the measure to 'DBF_Variance_To_Budget' to improve clarity and align with business terminology.
Trending,Warning,DBF VTF $,[Total DBF] - [Billed Forecast],Calculated Measure,Yes,"No - The measure calculates the difference between Total DBF and Billed Forecast, which is unique within the dataset.",Yes - The measure aligns with enterprise standards as it calculates a key business metric (variance to forecast).,No - The name 'DBF VTF $' is cryptic and does not clearly explain the calculation or business purpose.,Low - The measure uses a simple subtraction operation without nested functions.,No - The name uses abbreviations ('DBF VTF $') that are not self-explanatory and may confuse business users.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The formula uses unqualified measure references ([Total DBF], [Billed Forecast]), adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.600,0.800,0.400,Calculates the variance between Total DBF and Billed Forecast for financial analysis.,Add a description to explain the measure's purpose and calculation logic. Ensure the measure name is more descriptive and business-focused.,Rename the measure to 'DBF_Variance_To_Forecast' to improve clarity and align with business terminology.
Trending,Issue,Qualified Pipeline with Close Plan Attach,"DIVIDE (
    SUM ( Trending[QPClosePlanAttach_Num] ),
    SUM ( Trending[QPClosePlanAttach_Den] ),
    BLANK ()
)",Ratio Percentage,Yes,"No - The measure uses a unique calculation logic involving division of two sums, which is not duplicated across other measures.",No - The measure does not align with standard enterprise measures like Total Sales or Gross Margin. It appears to be specific to the dataset.,"No - The measure lacks a description, and the calculation logic is not immediately clear without additional context.",Low - The measure uses basic DAX functions (SUM and DIVIDE) and does not involve complex nested logic.,"Yes - The name is descriptive and reflects the calculation purpose, aligning with naming convention standards.","No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The measure uses fully qualified column references, adhering to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Tracks the percentage of qualified pipeline with a close plan attached.,Add a clear description explaining the business purpose and calculation logic of the measure. Consider aligning the measure with enterprise standards if applicable.,No changes needed as the naming convention is already clear and descriptive.
Trending,Warning,% Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] = ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",Ratio Percentage,Yes,"No - The measure uses a unique calculation logic involving a VAR and KEEPFILTERS, which is not duplicated across other measures.",No - The measure does not align with standard enterprise measures but is highly relevant to the dataset's business context.,"No - The measure lacks a description, and the calculation logic is not immediately clear without additional context.","Medium - The measure uses intermediate DAX functions like VAR and KEEPFILTERS, which add complexity but are appropriate for the business purpose.","Yes - The name is descriptive and reflects the calculation purpose, aligning with naming convention standards.","No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The measure uses fully qualified column references and unqualified measure references, adhering to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,Tracks the percentage of qualified pipeline attributed to commercial cloud products.,Add a clear description explaining the business purpose and calculation logic of the measure. Consider simplifying the logic if possible.,No changes needed as the naming convention is already clear and descriptive.
Trending,Warning,% Non Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] <> ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",Ratio Percentage,Yes,"No - The measure uses a unique calculation logic involving a VAR and KEEPFILTERS, which is not duplicated across other measures.",No - The measure does not align with standard enterprise measures but is highly relevant to the dataset's business context.,"No - The measure lacks a description, and the calculation logic is not immediately clear without additional context.","Medium - The measure uses intermediate DAX functions like VAR and KEEPFILTERS, which add complexity but are appropriate for the business purpose.","Yes - The name is descriptive and reflects the calculation purpose, aligning with naming convention standards.","No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The measure uses fully qualified column references and unqualified measure references, adhering to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,Tracks the percentage of qualified pipeline attributed to non-cloud products.,Add a clear description explaining the business purpose and calculation logic of the measure. Consider simplifying the logic if possible.,No changes needed as the naming convention is already clear and descriptive.
Trending,Issue,DBF VTB %,"DIVIDE([DBF VTB $],[Billed Budget],BLANK())",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,No - This measure does not align with standard enterprise measures like Total Sales or Gross Margin.,"No - The calculation logic is not explained in business terms, and the description is missing.",Low - The formula uses basic DAX functions (DIVIDE) and is straightforward.,No - The name is cryptic and does not clearly describe the calculation or business purpose.,"No - The measure lacks a description, making it unclear for business users.",Yes - The formula uses fully qualified column references and adheres to DAX standards.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.350,0.500,0.200,Calculate the percentage variance between DBF VTB $ and Billed Budget.,Add a clear description explaining the business purpose of the measure. Consider aligning the measure with enterprise standards if applicable.,"Rename the measure to something more descriptive, such as 'DBF Variance to Budget Percentage'."
Trending,Warning,Qualified Pipeline in High Stage,"DIVIDE (
    SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)

",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,Yes - The measure aligns with enterprise standards for pipeline analysis.,"No - The calculation logic is not explained in business terms, and the description is missing.","Medium - The formula uses nested DAX functions, which are moderately complex but appropriate for the business purpose.",Yes - The name is descriptive and reflects the calculation and business purpose.,"No - The measure lacks a description, making it unclear for business users.",Yes - The formula uses fully qualified column references and adheres to DAX standards.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,Analyze the proportion of the qualified pipeline in high stages.,Add a clear description explaining the business purpose of the measure.,The naming convention is appropriate; no changes are needed.
Trending,Warning,Qualified Pipeline in Low Stages,"DIVIDE (
    SUM ( Trending[QualifiedPipeline] ) - SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)
",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,Yes - The measure aligns with enterprise standards for pipeline analysis.,"No - The calculation logic is not explained in business terms, and the description is missing.","Medium - The formula uses nested DAX functions, which are moderately complex but appropriate for the business purpose.",Yes - The name is descriptive and reflects the calculation and business purpose.,"No - The measure lacks a description, making it unclear for business users.",Yes - The formula uses fully qualified column references and adheres to DAX standards.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,Analyze the proportion of the qualified pipeline in low stages.,Add a clear description explaining the business purpose of the measure.,The naming convention is appropriate; no changes are needed.
Trending,Warning,Uncommitted + Upside Pipeline,[Uncommitted Pipeline] + [Uncommitted Upside Pipeline],Simple Aggregation,Yes,No - The measure combines two distinct measures ([Uncommitted Pipeline] and [Uncommitted Upside Pipeline]) and does not duplicate any other measure definition.,No - The measure does not align with predefined standard measures like Total Sales Value or Gross Margin. It appears to be specific to the business context.,"Yes - The calculation logic is straightforward, summing two existing measures without any nested functions or complex operations.","Low - The measure is simple, with no nested functions and a short formula length.","Yes - The name clearly reflects the calculation logic and business purpose, combining 'Uncommitted Pipeline' and 'Upside Pipeline'.","No - The measure lacks a description, which would help clarify its business purpose and calculation logic.","Yes - The measure uses unqualified references for measures ([Uncommitted Pipeline] and [Uncommitted Upside Pipeline]), which is consistent with DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Combines uncommitted pipeline and upside pipeline values for trending analysis.,Consider adding a description to explain the business purpose of combining 'Uncommitted Pipeline' and 'Upside Pipeline'.,No changes needed as the naming convention is clear and descriptive.
Trending,Issue,CPC to Budget,"VAR X = [Billed Budget] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",Complex Calculation,Yes,"No - The measure has a unique definition, but it is similar to 'Trending.CPC to Forecast', which may cause confusion.",No - The measure does not align with standard enterprise measures and appears to be specific to the business context.,"No - The calculation logic is complex, involving multiple variables and nested functions, which may not be immediately clear to business users.","High - The measure uses 7 nested functions and has a lengthy formula, making it complex.","Yes - The name reflects the calculation purpose, comparing CPC to the budget.","No - The measure lacks a description, which would help clarify its business purpose and calculation logic.","Yes - The measure uses fully qualified references for columns and unqualified references for measures, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.600,0.200,1.000,Compares CPC to the budget for trending analysis.,Simplify the calculation logic or provide a detailed description to explain the purpose and components of the measure.,No changes needed as the naming convention is clear and descriptive.
Trending,Issue,CPC to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",Complex Calculation,Yes,"No - The measure has a unique definition, but it is similar to 'Trending.CPC to Budget', which may cause confusion.",No - The measure does not align with standard enterprise measures and appears to be specific to the business context.,"No - The calculation logic is complex, involving multiple variables and nested functions, which may not be immediately clear to business users.","High - The measure uses 7 nested functions and has a lengthy formula, making it complex.","Yes - The name reflects the calculation purpose, comparing CPC to the forecast.","No - The measure lacks a description, which would help clarify its business purpose and calculation logic.","Yes - The measure uses fully qualified references for columns and unqualified references for measures, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.600,0.200,1.000,Compares CPC to the forecast for trending analysis.,Simplify the calculation logic or provide a detailed description to explain the purpose and components of the measure.,No changes needed as the naming convention is clear and descriptive.
Trending,Issue,CPC to Forecast Latest Week KPI,[CPC to Forecast Latest Week] * 100,Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,No - The measure does not align with standard business patterns like Total Sales or YoY Growth.,No - The calculation logic is simple but lacks a description to explain its business purpose.,Low - The formula is straightforward with no nested functions or complex logic.,Yes - The name reflects the calculation and business context clearly.,"No - The measure lacks a description, making it harder for business users to understand its purpose.",Yes - The formula uses proper DAX syntax without inconsistencies.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,"Provides a KPI for CPC to Forecast for the latest week, expressed as a percentage.",Add a description to explain the business purpose of the measure. Consider aligning the measure with standard business patterns if applicable.,No changes needed as the naming convention is clear and descriptive.
