Table,Measure,Expression,Description,Has_Duplicate,Duplicate_Measure_Names,Uses_IFERROR,Uses_INTERSECT,Uses_Division_Instead_Of_DIVIDE,Uses_FILTER_In_CALCULATE,Uses_FILTER_With_Measure,Uses_Percentage_Syntax,Direct_Measure_Reference,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,DAX_Recommendations,Critical_Score,Max_Critical_Score,Issue_Score,Max_Issue_Score,Warning_Score,Max_Warning_Score,Total_DAX_Score,Max_Total_DAX_Score,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Is_Name_Not_Reflecting_Expression,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
Trending,% Committed,"DIVIDE([Committed + Risk Pipeline],[Qualified Pipeline],BLANK())",,No,,No,No,No,No,No,No,No,No,,Yes,"committed + risk pipeline, qualified pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name '% Committed' is not self-explanatory without understanding the referenced measures.,0.0,"The name does not clearly reflect the calculation, which involves dividing 'Committed + Risk Pipeline' by 'Qualified Pipeline'.",0.0,The '%' symbol is not descriptive enough to explain the measure.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,% Upside,"DIVIDE([Uncommitted + Upside Pipeline],[Qualified Pipeline],BLANK())",,No,,No,No,No,No,No,No,No,No,,Yes,"qualified pipeline, uncommitted + upside pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name '% Upside' is not self-explanatory without understanding the referenced measures.,0.0,"The name does not clearly reflect the calculation, which involves dividing 'Uncommitted + Upside Pipeline' by 'Qualified Pipeline'.",0.0,The '%' symbol is not descriptive enough to explain the measure.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Actual + Schedule,SUM(Trending[ActualBilledRevenue])+SUM(Trending[ScheduledBilledRevenue]),,No,,No,No,No,No,No,No,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,DBF VTB $,[Total DBF] - [Billed Budget],,No,,No,No,No,No,No,No,No,No,,Yes,"billed budget, total dbf",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'DBF VTB $' is not self-explanatory without understanding the referenced measures.,0.0,"The name does not clearly reflect the calculation, which involves subtracting 'Billed Budget' from 'Total DBF'.",0.0,The name uses abbreviations ('DBF' and 'VTB') that are not clear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,DBF VTF $,[Total DBF] - [Billed Forecast],,No,,No,No,No,No,No,No,No,No,,Yes,"billed forecast, total dbf",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'DBF VTF $' is not self-explanatory without understanding the referenced measures.,0.0,"The name does not clearly reflect the calculation, which involves subtracting 'Billed Forecast' from 'Total DBF'.",0.0,The name uses abbreviations ('DBF' and 'VTF') that are not clear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Qualified Pipeline with Close Plan Attach,"DIVIDE (
    SUM ( Trending[QPClosePlanAttach_Num] ),
    SUM ( Trending[QPClosePlanAttach_Den] ),
    BLANK ()
)",,No,,No,No,No,No,No,No,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,% Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] = ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",,No,,No,No,No,No,No,No,No,No,,Yes,qualified pipeline,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The '%' symbol is an abbreviation and 'Cloud' is not descriptive enough.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,% Non Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] <> ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",,No,,No,No,No,No,No,No,No,No,,Yes,qualified pipeline,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The '%' symbol is an abbreviation and 'Non Cloud' is not descriptive enough.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,DBF VTB %,"DIVIDE([DBF VTB $],[Billed Budget],BLANK())",,No,,No,No,No,No,No,No,No,No,,Yes,"billed budget, dbf vtb $",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'DBF VTB %' is cryptic and does not explain what it calculates.,0.0,The name does not clearly reflect the calculation of dividing 'DBF VTB $' by 'Billed Budget'.,0.0,The name contains cryptic abbreviations like 'DBF' and 'VTB'.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Qualified Pipeline in High Stage,"DIVIDE (
    SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)

",,No,,No,No,No,No,No,No,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline in Low Stages,"DIVIDE (
    SUM ( Trending[QualifiedPipeline] ) - SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)
",,No,,No,No,No,No,No,No,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Uncommitted + Upside Pipeline,[Uncommitted Pipeline] + [Uncommitted Upside Pipeline],,No,,No,No,No,No,No,No,No,No,,Yes,"uncommitted pipeline, uncommitted upside pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Budget,"VAR X = [Billed Budget] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,No,,No,No,No,No,No,No,No,No,,Yes,"billed budget, committed + risk pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'CPC to Budget' is not self-explanatory without additional context.,0.0,"The name does not clearly reflect the calculation involving 'Billed Budget', 'Actual Billed Revenue', and 'Committed + Risk Pipeline'.",0.0,The abbreviation 'CPC' is not clear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,CPC to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,No,,No,No,No,No,No,No,No,No,,Yes,"billed forecast, committed + risk pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'CPC to Forecast' is not self-explanatory without additional context.,0.0,"The name does not clearly reflect the calculation involving 'Billed Forecast', 'Actual Billed Revenue', and 'Committed + Risk Pipeline'.",0.0,The abbreviation 'CPC' is not clear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,CPC to Forecast Latest Week KPI,[CPC to Forecast Latest Week] * 100,,No,,No,No,No,No,No,No,No,No,,Yes,cpc to forecast latest week,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'CPC to Forecast Latest Week KPI' is not self-explanatory without additional context.,0.0,The name does not clearly reflect the calculation involving 'CPC to Forecast Latest Week'.,0.0,The abbreviation 'CPC' is not clear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,CPC to Budget MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,No,,No,No,No,No,No,No,No,No,,Yes,cpc to budget,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'CPC to Budget MoM' is not self-explanatory without additional context.,0.0,The name does not clearly reflect the calculation involving 'CPC to Budget' over months.,0.0,The abbreviation 'CPC' and 'MoM' are not clear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,CPC to Budget WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,No,,No,No,No,No,No,No,No,No,,Yes,cpc to budget,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'CPC to Budget WoW' is not self-explanatory without additional context.,0.0,The name does not clearly reflect the calculation involving 'CPC to Budget' over weeks.,0.0,The abbreviation 'CPC' and 'WoW' are not clear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Qualified Pipeline Coverage to Budget MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,No,,No,No,No,No,No,No,No,No,,Yes,qualified pipeline coverage to budget,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'Qualified Pipeline Coverage to Budget MoM' is not self-explanatory without additional context.,0.0,The name does not clearly reflect the calculation involving 'Qualified Pipeline Coverage to Budget' over months.,0.5,,0.5,0.5,0.5,critical,1,RED,#FF0000
Trending,Qualified Pipeline Coverage to Budget WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,No,,No,No,No,No,No,No,No,No,,Yes,qualified pipeline coverage to budget,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'Qualified Pipeline Coverage to Budget WoW' is not self-explanatory without additional context.,0.0,The name does not clearly reflect the calculation involving 'Qualified Pipeline Coverage to Budget' over weeks.,0.5,,0.5,0.5,0.5,critical,1,RED,#FF0000
Trending,Additional Pipeline Needed Latest Week,"VAR  A = CALCULATE( ( [Pipeline Target Unround] * ( [Billed Budget] - SUM( Trending[ActualBilledRevenue] ) - SUM( Trending[ScheduledBilledRevenue] ) ) )
    - ( SUM( Trending[QualifiedPipeline] ) + SUM( Trending[RunRateProjections] ) )
    ,KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))

RETURN IF(OR(A <= 0,[QPC to Budget KPI] > 0.995),BLANK(),A)",,No,,No,No,No,No,No,No,No,No,,Yes,"billed budget, pipeline target unround, qpc to budget kpi",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Additional Pipeline Needed MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR Latest =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PW =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevMonthKey
        )
    )

RETURN
    IF(Latest <= 0, 0, Latest) - IF(PW <= 0, 0, PW)
",,No,,No,No,No,No,No,No,No,No,,Yes,additional pipeline needed base,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Additional Pipeline Needed WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR Latest =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PW =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

RETURN
    IF(Latest <= 0, 0, Latest) - IF(PW <= 0, 0, PW)
",,No,,No,No,No,No,No,No,No,No,,Yes,additional pipeline needed base,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,STU Owned Pipeline MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR A =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR B =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevMonthKey
        )
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(
        OR(X <= 0, Y <= 0),
        BLANK(),
        X - Y
    )
",,No,,No,No,No,No,No,No,No,No,,Yes,stu owned pipeline base,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The term 'STU' is not clear without additional context.,0.0,The name does not clarify what 'STU Owned Pipeline' represents.,0.0,The abbreviation 'STU' is unclear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,STU Owned Pipeline WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR A =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR B =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(
        OR(X <= 0, Y <= 0),
        BLANK(),
        X - Y
    )
",,No,,No,No,No,No,No,No,No,No,,Yes,stu owned pipeline base,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The term 'STU' is not clear without additional context.,0.0,The name does not clarify what 'STU Owned Pipeline' represents.,0.0,The abbreviation 'STU' is unclear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,STU Owned Pipeline Latest Week,"CALCULATE([STU Owned Pipeline Base],KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))",,No,,No,No,No,No,No,No,No,No,,Yes,stu owned pipeline base,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The term 'STU' is not clear without additional context.,0.0,The name does not clarify what 'STU Owned Pipeline' represents.,0.0,The abbreviation 'STU' is unclear.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Close Plan Attach WoW,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevWeekKey = SelectedKey - 1

VAR A =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR B =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(OR(X <= 0, Y <= 0), BLANK(), X - Y)
",,No,,No,No,No,No,No,No,No,No,,Yes,qualified pipeline with close plan attach,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Close Plan Attach MoM,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevMonthKey = SelectedKey - 4

VAR A =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR B =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(OR(X <= 0, Y <= 0), BLANK(), X - Y)
",,No,,No,No,No,No,No,No,No,No,,Yes,qualified pipeline with close plan attach,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Forecast WoW,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,No,,No,No,No,No,No,No,No,No,,Yes,qualified pipeline coverage to forecast,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Forecast MoM,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,No,,No,No,No,No,No,No,No,No,,Yes,qualified pipeline coverage to forecast,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
